#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 28, 2019 - Dec 26, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,616492,2785220,9576891,56177996
United States,167088,749191,2217425,10073712
Brazil,73392,269350,692456,6212110
Mexico,6141,29957,346240,3717175
India,26694,150607,482468,2725433
Turkey,26232,130313,693638,2641572
Nigeria,37002,160200,537130,2316367
Indonesia,11712,83991,368443,2275697
Colombia,4318,22412,195864,2236161
Egypt,27343,92409,224584,1447435
Poland,10260,42509,230905,1348818
Romania,11887,54214,137273,1124795
Peru,1697,8323,59888,856018
Hungary,4090,31516,84366,845496
Ecuador,1320,7481,104410,834376
Philippines,8322,71097,245325,761634
Venezuela,2167,12183,99243,710860
France,8392,32434,95249,708500
United Kingdom,8805,42518,132345,679985
Canada,10862,52907,149620,658369
Chile,1031,4484,56496,657113
Russian Federation,7253,44260,142100,614091
Democratic Republic of The Congo,6551,28012,69197,449105
Morocco,2683,13146,37030,432983
Guatemala,811,3427,51359,381899
Algeria,8262,29146,66434,378927
Slovakia (Slovak Republic),2949,11699,45256,374878
South Africa,4469,20182,71301,371760
Cameroon,5602,22053,73999,363251
Australia,4272,19689,66617,334650
Kenya,4060,20069,65478,334511
Angola,4122,16556,54128,331666
Germany,5390,23435,75628,327984
Uganda,1937,11704,52133,315884
Honduras,290,1484,45051,314001
Costa Rica,647,3552,37237,296966
Pakistan,2547,13461,46196,291394
Ethiopia,4578,18165,58108,281989
Lebanon,4586,21004,50752,276102
Cote D Ivoire,3863,15070,48764,265949
Ghana,3217,13427,52542,260704
Singapore,3467,15330,48826,251012
Zambia,2292,10457,41515,220436
Jordan,2425,10869,26325,209690
Mozambique,2203,10290,34527,201634
Portugal,853,4537,10393,199634
Ukraine,3756,14636,43297,197053
Japan,1319,6824,27061,184152
Bulgaria,3461,12990,37713,165965
Benin,2503,9330,29115,165341
Nicaragua,175,875,20639,161858
Malaysia,1611,7112,22446,160822
Italy,3089,15566,44286,160050
Tunisia,2532,9040,21168,154553
Panama,427,2136,21218,151328
Viet Nam,1982,7727,26549,143195
Spain,1474,7248,20582,133888
Moldova,1349,7387,19392,122792
Iraq,3063,11380,26641,113511
Yemen,3863,16295,31462,109803
Argentina,1077,5121,16001,101662
Netherlands,1573,6412,22343,96183
Burkina Faso,1910,8218,21186,94712
Belgium,1080,4061,12301,80154
New Zealand,974,4643,14519,77778
Bangladesh,1331,6330,24401,75358
Azerbaijan,1000,4103,21666,74789
Belarus,931,4631,17179,72711
Hong Kong SAR of China,761,3494,11788,72324
Thailand,1396,4927,13166,71594
Puerto Rico,256,1179,5436,70613
Madagascar,671,4531,14031,68586
Switzerland,1048,3988,12624,65995
Guinea,1962,6755,24082,61795
Burundi,1047,3737,11338,56848
Ireland,682,3295,10297,56385
China,428,1709,5378,56301
Senegal,656,3214,10437,55268
Albania,1198,4903,13181,55062
Gabon,235,1210,5677,52507
South Korea,934,3883,11365,52023
United Arab Emirates,641,3277,10256,51855
Rwanda,1764,7897,22728,50717
Austria,493,2473,8695,48841
Sweden,754,3182,9436,48803
Mali,720,3480,10641,46145
Malawi,307,1304,5342,45449
Czech Republic,349,1709,6662,43936
Cape Verde,386,1626,5310,40060
Uzbekistan,1131,4766,13481,39470
Togo,1523,6358,15748,39258
Taiwan region,534,2064,5989,39024
Liberia,808,3588,11138,38664
Kazakhstan,885,3230,10136,38385
Haiti,411,3047,11033,38206
Jamaica,559,2945,9700,36187
Zimbabwe,359,1822,6011,35870
