#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 5, 2019 - Dec 3, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,784,3226,12383,109757
Brazil,523,2116,6926,53489
Colombia,4,27,457,8050
Mexico,5,37,486,7535
United States,37,155,543,4909
Venezuela,6,28,536,3820
Peru,0,8,151,3366
Ecuador,1,7,214,3114
Angola,32,129,458,2662
Nigeria,6,30,128,1727
Mozambique,14,57,222,1386
Chile,3,8,83,1297
Guatemala,1,5,124,1207
Russian Federation,14,75,202,902
Egypt,10,34,93,886
United Kingdom,1,15,68,742
Honduras,1,1,71,730
Costa Rica,0,3,64,686
Panama,1,7,44,618
Morocco,8,17,38,611
Portugal,6,23,50,610
Cote D Ivoire,7,29,83,542
South Africa,1,5,22,539
Democratic Republic of The Congo,6,36,93,487
Cameroon,4,20,76,478
Nicaragua,0,2,45,447
France,8,17,40,434
Algeria,3,14,43,418
Canada,1,10,49,405
Benin,6,18,57,350
Uganda,1,6,23,336
Ghana,1,7,20,333
Puerto Rico,0,2,17,308
Yemen,12,24,65,260
Spain,0,1,12,248
Lebanon,4,17,46,247
Papua New Guinea,0,0,5,247
Kenya,1,4,18,246
Germany,3,14,32,240
Argentina,1,2,14,209
Jordan,1,5,23,204
Gabon,1,7,30,193
Ethiopia,0,5,15,188
Zambia,0,1,5,182
Australia,2,9,20,173
Madagascar,7,15,31,152
Cape Verde,0,7,18,151
Haiti,4,13,50,150
Botswana,0,2,5,142
Ukraine,1,12,35,139
India,0,1,12,139
Congo,1,7,19,131
Burkina Faso,0,6,18,124
Philippines,0,1,22,120
Togo,8,18,39,111
Equatorial Guinea,0,2,18,111
Pakistan,0,1,4,105
Zimbabwe,0,1,4,99
Switzerland,3,6,11,93
Senegal,2,5,20,86
Tunisia,2,5,11,83
Belgium,2,4,11,81
Uruguay,0,0,1,76
Belarus,5,11,23,75
Burundi,0,8,15,75
Iraq,1,3,7,67
Italy,1,5,10,66
New Zealand,1,3,6,64
Japan,0,6,17,64
Netherlands,1,3,8,55
Malawi,0,0,3,54
Guinea,2,7,23,51
Chad,1,4,12,51
Swaziland,0,0,2,48
Ireland,0,1,2,46
Singapore,0,2,8,43
Paraguay,0,0,5,42
Liberia,0,0,5,40
