#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 5, 2019 - Dec 3, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,722079,2895485,10415606,57785725
United States,206558,749053,2261659,10373741
Brazil,58384,213577,671772,6514194
Mexico,6928,28803,506888,3946702
Turkey,36382,225209,691496,2764760
India,33988,121323,714901,2722103
Colombia,5023,21710,267591,2344756
Indonesia,27002,89246,485746,2304813
Nigeria,40876,170252,557556,2261708
Egypt,15494,64953,179431,1435184
Poland,14828,95572,251781,1400203
Romania,12270,47406,122081,1170270
Hungary,11645,34392,80649,910569
Peru,1891,7401,87553,909664
Ecuador,1770,9237,155409,860172
Philippines,20570,81339,252687,756244
Venezuela,2916,14246,138373,741820
France,7324,33015,93788,740925
Chile,811,4007,85054,714630
United Kingdom,11449,46973,134484,700326
Canada,13760,50803,147397,678341
Russian Federation,11484,51322,130230,612804
Democratic Republic of The Congo,5988,22863,69180,447533
Morocco,3467,12139,34309,436221
Slovakia (Slovak Republic),4026,17582,48144,401400
Guatemala,1130,6063,77428,397035
South Africa,5631,25679,76134,376565
Algeria,5005,15658,59752,366367
Cameroon,5351,24840,78967,359840
Australia,5435,23416,72240,344086
Angola,4270,16608,57827,341445
Germany,5937,28172,71616,336563
Kenya,5702,23673,66895,332036
Honduras,467,2750,71580,327655
Uganda,3431,16022,62841,316004
Costa Rica,672,3016,57375,304576
Pakistan,4468,16223,45934,296303
Ethiopia,4399,18520,63733,278770
Lebanon,5187,18494,41935,270719
Cote D Ivoire,3986,17932,50799,264799
Ghana,3612,17745,60091,259604
Singapore,4337,17825,51734,253112
Zambia,2887,13952,50321,218639
Portugal,1189,3804,9885,214829
Mozambique,3156,12228,38214,210042
Jordan,2192,7542,21506,209554
Ukraine,4072,15819,39574,205652
Japan,2606,10425,30759,197967
Nicaragua,300,1883,32423,170317
Benin,2305,9339,30577,167148
Bulgaria,3388,14027,37576,166951
Italy,3935,17442,38521,164084
Malaysia,1936,8170,23066,162193
Panama,560,2216,31737,156500
Tunisia,1525,5882,17235,152425
Viet Nam,2197,9279,27487,146949
Spain,1718,7501,18381,142950
Moldova,2209,7519,18203,124577
Iraq,2065,6940,21756,107468
Argentina,1470,6143,16973,107241
Yemen,3531,10062,20771,101156
Netherlands,1661,7274,23123,98295
Burkina Faso,1884,6346,19947,93051
Belgium,961,4342,11773,82768
New Zealand,1381,5390,15682,79741
Belarus,1261,5417,16400,76520
Thailand,1122,4176,13255,76092
Azerbaijan,1005,4775,21131,75482
Puerto Rico,336,1362,6858,74385
Hong Kong SAR of China,864,4176,12511,73038
Bangladesh,1978,9044,25414,72266
Madagascar,1347,5154,14641,69659
Switzerland,946,4224,12790,69259
China,430,1831,5570,61794
Ireland,940,3682,10713,58867
Guinea,1588,7491,26310,58182
Senegal,1244,4160,11542,57155
Burundi,823,3502,11613,56940
Gabon,372,1724,6536,56084
Albania,954,4412,11149,54359
South Korea,994,3980,11607,53510
United Arab Emirates,825,3442,10651,52215
Austria,721,3161,8756,51376
Sweden,765,3169,9530,49949
Czech Republic,557,2898,6756,48601
Rwanda,2149,7414,21149,46188
Malawi,343,1657,7449,45337
Mali,1165,4011,11390,45024
Cape Verde,437,1709,5532,42143
Kazakhstan,866,3346,10209,39427
Taiwan region,562,2002,7396,39189
Haiti,1078,4084,12075,38037
Uzbekistan,1340,4932,12549,37914
Liberia,1015,3870,11444,36912
Zimbabwe,551,2139,6387,36001
Togo,2097,6225,15103,35960
Jamaica,832,3580,10010,35875
Saudi Arabia,527,2344,7146,34706
Serbia,461,2049,5927,34426
Greece,595,2692,7257,33055
Myanmar,332,1357,4434,32562
Afghanistan,437,1751,4735,30864
Congo,272,1138,3731,30655
Croatia,381,1570,4955,30421
Tanzania,593,2248,6630,29668
Papua New Guinea,201,779,2545,29563
Finland,526,2353,8120,28901
Dominican Republic,426,1626,5506,27721
Nepal,532,2130,6277,27434
Uruguay,71,664,2070,25908
Trinidad and Tobago,571,2225,6207,24821
Kyrgyzstan,673,2347,7060,22648
Sudan,1157,3888,8532,22619
Mongolia,785,2554,6856,22189
Paraguay,194,852,2601,21750
Georgia,323,1514,4177,21104
Chad,235,887,2218,20947
El Salvador,210,912,6192,20915
Niger,345,1639,4953,20270
Norway,281,1338,3832,19971
Iran (Islamic Republic of),72,442,1472,19516
Israel,276,1101,3437,18189
Armenia,300,1255,3328,17895
Sri Lanka,332,1463,4122,17504
Botswana,204,850,2522,16913
Kuwait,255,967,3052,16447
Lithuania,356,1411,3094,16246
