#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 5, 2019 - Dec 3, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
Bolivia,212,987,2902,15973
Mauritius,238,1117,3150,15970
Lao Peoples Democratic Republic,77,351,1030,15701
Namibia,232,1028,3306,14838
Qatar,215,921,2840,13735
Slovenia,328,1276,3134,13677
Luxembourg,117,526,1393,13135
Cambodia,180,666,1734,12388
Denmark,206,949,2694,12102
Macedonia,211,817,2006,12019
Equatorial Guinea,28,165,2279,11903
Bahamas,252,1170,3283,11773
Syrian Arab Republic,190,734,2305,11743
Libyan Arab Jamahiriya,86,449,1949,10696
Swaziland,106,508,1634,9822
Oman,184,620,1864,9526
Cuba,36,125,493,8758
Guinea-Bissau,127,497,1741,8546
Tajikistan,227,1041,2413,8289
Bosnia and Herzegovina,128,544,1531,8134
Sierra Leone,154,649,1893,8125
Cyprus,117,502,1538,8093
Fiji,163,672,2062,7790
Reunion,123,487,1423,7652
Central African Republic,167,503,1381,7616
Saint Lucia,60,267,662,7183
Barbados,153,646,1820,7107
Bahrain,130,476,1438,6926
Somalia,125,459,1109,6641
Latvia,146,531,1422,6120
Guyana,169,638,1643,6105
Estonia,125,479,1353,5864
Palestinian Territories,89,343,964,5572
Martinique,77,340,885,5342
Lesotho,73,303,897,5265
Belize,111,424,1226,4655
South Sudan,130,504,1327,4534
Montenegro,92,491,1279,4417
Malta,69,319,866,4367
Curacao,43,227,636,4178
Sao Tome and Principe,82,289,730,3459
Guadeloupe,56,202,626,3355
Grenada,36,141,411,3337
Guam,61,256,741,3332
Antigua and Barbuda,35,91,239,3316
Brunei Darussalam,56,190,605,3236
Macau SAR of China,36,186,554,2934
Turkmenistan,24,89,865,2778
Maldives,31,182,609,2722
Bhutan,43,162,492,2467
Suriname,73,238,683,2268
French Guiana,17,110,347,2134
Cayman Islands,39,163,454,2119
Saint Vincent and The Grenadines,31,164,426,2036
Iceland,36,150,406,1961
Europe (Unknown Country),26,133,182,1750
Gambia,71,211,559,1705
French Polynesia,15,80,282,1659
Djibouti,11,54,165,1651
Mauritania,39,211,538,1602
Vanuatu,27,93,296,1582
Timor-Leste,37,202,482,1555
Bermuda,31,120,348,1496
New Caledonia,16,82,290,1491
Jersey,33,133,380,1386
Seychelles,17,99,278,1337
Aruba,21,81,231,1320
US Virgin Islands,23,98,300,1307
Dominica,22,104,304,1273
Solomon Islands,31,119,365,1252
Anguilla,14,57,178,1194
Turks and Caicos Islands,21,86,263,1056
Monaco,20,78,264,973
Samoa,16,111,282,968
Saint Kitts and Nevis,8,60,168,904
Tonga,17,87,193,840
Sint Maarten,17,64,175,708
British Virgin Islands,13,63,189,692
Comoros,2,18,43,650
Isle of Man,13,55,135,646
Northern Mariana Islands,13,38,100,595
Guernsey,15,48,134,511
Gibraltar,5,27,73,437
Faroe Islands,14,39,95,422
Federated States of Micronesia,10,43,104,365
Greenland,5,42,107,345
Palau,3,31,76,345
Bonaire/Sint Eustatius/Saba,1,27,70,324
Saint Martin,8,22,44,224
Andorra,1,10,26,211
Cook Islands,5,21,61,184
Marshall Islands,4,16,38,152
Kiribati,3,15,49,151
Liechtenstein,1,7,33,139
Mayotte,4,6,25,83
Nauru,0,8,30,83
Eritrea,1,6,11,52
Holy See (Vatican City State),1,3,9,48
San Marino,1,1,4,46
Aland Islands,2,4,5,38
St. Pierre and Miquelon,1,2,7,29
Wallis and Futuna Islands,2,2,6,28
Falkland Islands (Malvinas),1,3,4,28
American Samoa,0,3,9,21
Tuvalu,0,0,5,19
British Indian Ocean Territory,0,1,4,15
Montserrat,0,1,3,13
Niue,0,0,2,10
Norfolk Island,0,1,1,9
Tokelau,0,0,0,7
North Korea,0,0,1,4
St. Helena,0,0,0,2
Saint Barthelemy,0,0,1,1
Cocos (Keeling) Islands,0,0,0,1


