#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 19, 2019 - Dec 17, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26576,7405,2398,417
Indonesia,2154,906,394,18
Venezuela,1644,963,348,62
Mexico,1631,813,216,43
Colombia,1459,619,181,39
Argentina,1108,513,154,38
Philippines,1928,491,141,39
United States,5359,487,111,17
Guatemala,690,328,108,12
Ireland,837,334,81,18
India,917,189,56,9
Viet Nam,320,96,40,5
Cameroon,448,89,38,6
Singapore,498,95,33,11
Taiwan region,161,50,27,4
Uganda,212,78,23,1
Ghana,441,107,22,4
Malaysia,331,59,22,7
Lao Peoples Democratic Republic,46,27,22,5
Nigeria,359,115,21,4
Ecuador,240,43,21,1
Australia,274,45,19,2
Democratic Republic of The Congo,237,49,19,5
Benin,73,30,17,0
Brazil,484,62,16,5
Nepal,44,22,16,8
South Africa,245,42,14,2
China,155,22,12,0
Kenya,387,65,11,4
New Zealand,343,56,11,2
United Kingdom,232,35,10,2
Romania,37,11,10,4
Hong Kong SAR of China,201,35,9,3
Gabon,67,12,9,1
Cote D Ivoire,110,35,8,2
France,104,18,8,2
Egypt,51,18,8,2
Gambia,23,15,8,0
Thailand,250,30,7,5
Panama,94,14,7,0
Cambodia,84,30,7,4
El Salvador,73,19,7,1
Tunisia,69,14,7,2
Lebanon,50,12,7,1
Tanzania,25,11,7,1
Ukraine,93,17,6,0
Peru,74,13,6,1
Guyana,44,13,6,0
Zambia,117,21,5,0
Germany,114,20,5,0
Russian Federation,103,43,5,1
Myanmar,72,19,5,1
Turkey,58,9,5,0
Togo,53,15,5,1
Congo,50,13,5,0
Kazakhstan,47,13,5,2
Ethiopia,228,26,4,1
Canada,179,17,4,1
Chile,76,6,4,0
Liberia,52,15,4,0
Italy,43,11,4,1
Mali,39,15,4,2
Algeria,38,10,4,1
Swaziland,23,15,4,0
Central African Republic,20,16,4,0
Burkina Faso,20,13,4,0
Suriname,16,6,4,0
South Korea,137,14,3,1
Netherlands,56,11,3,0
Kyrgyzstan,54,16,3,0
Jordan,51,5,3,1
Nicaragua,42,13,3,1
Bolivia,40,11,3,1
Moldova,34,13,3,0
Bhutan,23,6,3,1
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
United Arab Emirates,216,18,2,1
Costa Rica,141,10,2,0
Japan,99,9,2,1
Spain,94,8,2,0
Poland,59,5,2,0
Somalia,58,7,2,0
Haiti,57,7,2,1
Timor-Leste,48,15,2,1
Burundi,39,11,2,0
Iraq,32,5,2,1
Belgium,26,5,2,0
Chad,25,5,2,0
Belarus,10,5,2,0
Portugal,6,2,2,0
Zimbabwe,90,11,1,1
Saudi Arabia,55,7,1,0
Dominican Republic,52,4,1,0
Mauritius,51,6,1,1
Puerto Rico,48,7,1,0
Fiji,39,8,1,0
Bangladesh,33,8,1,0
Albania,31,5,1,0
Mongolia,29,14,1,0
Papua New Guinea,29,3,1,1
Kuwait,28,4,1,0
Angola,27,7,1,0
Paraguay,27,7,1,0
Qatar,23,5,1,1
Rwanda,20,7,1,0
Lithuania,16,2,1,0
Morocco,14,3,1,0
Czech Republic,12,4,1,1
Senegal,12,3,1,0
Israel,11,1,1,1
Mozambique,9,4,1,0
Sweden,9,2,1,0
Cuba,8,2,1,0
Guinea,8,2,1,0
Libyan Arab Jamahiriya,7,1,1,0
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Honduras,76,7,0,0
Madagascar,57,7,0,0
Trinidad and Tobago,45,3,0,0
Malawi,36,5,0,0
Barbados,26,4,0,0
Jamaica,22,9,0,0
