#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 23, 2019 - Dec 21, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,669042,2849179,9736455,56605172
United States,187431,763799,2244515,10127942
Brazil,65501,244141,672561,6276313
Mexico,10786,31746,374476,3783657
India,23626,156445,503935,2730991
Turkey,23860,127897,701355,2663476
Nigeria,39042,162400,534849,2307096
Indonesia,14069,93657,395222,2283644
Colombia,7235,23410,209667,2264971
Egypt,29190,92692,215979,1449457
Poland,7850,49346,239780,1363512
Romania,13129,56617,135124,1144809
Peru,2722,8362,64253,868805
Hungary,8591,38803,86129,866229
Ecuador,2124,7880,113880,840474
Philippines,15021,82603,251975,764601
Venezuela,4417,12921,108167,717429
France,7988,32292,94493,716947
United Kingdom,9804,44790,133923,683899
Chile,1517,4420,61190,673820
Canada,12854,54885,151069,661613
Russian Federation,9468,45639,142023,618642
Democratic Republic of The Congo,6838,28399,68249,453697
Morocco,3426,14489,37285,434679
Guatemala,858,3715,56078,385049
Slovakia (Slovak Republic),2229,11965,46423,381830
Algeria,10115,27613,65065,376684
South Africa,4436,21567,72243,372903
Cameroon,5983,22406,74980,364180
Australia,4705,20750,67366,335979
Kenya,4665,21061,65974,334204
Angola,4846,16700,54781,332651
Germany,5456,23984,75291,329769
Honduras,365,1631,49660,316726
Uganda,1828,11952,52602,316409
Costa Rica,1289,3619,40917,299478
Pakistan,2583,14342,45883,294713
Ethiopia,4555,18143,57917,281658
Lebanon,5957,23292,49631,275667
Cote D Ivoire,3874,15540,49076,267240
Ghana,3283,14284,53016,260643
Singapore,3524,15853,49604,251610
Zambia,2697,11169,41917,220494
Jordan,3257,11079,25986,210300
Mozambique,3173,11270,35317,202512
Portugal,772,4612,10362,202461
Ukraine,2816,13951,42024,199326
Japan,1326,7741,27897,187207
Benin,2536,9252,29362,167877
Bulgaria,3094,12754,37395,165864
Nicaragua,196,972,22813,163462
Italy,2968,16400,43469,161772
Malaysia,1842,7426,22809,161272
Tunisia,2936,8876,20605,154289
Panama,604,2239,22956,152607
Viet Nam,1623,7847,26398,144174
Spain,1630,7491,20363,136033
Moldova,1447,7927,19273,123420
Iraq,3936,11036,25577,112382
Yemen,4866,16351,30203,108472
Argentina,1352,5418,16447,103348
Netherlands,1619,6650,22548,96302
Burkina Faso,2327,8121,20997,95154
Belgium,966,4018,12150,80836
New Zealand,1090,4952,14805,77968
Bangladesh,1435,7100,24665,74745
Azerbaijan,941,3982,21731,74659
Belarus,869,4635,17059,73845
Thailand,1229,4621,13036,72708
Hong Kong SAR of China,879,3620,12038,72527
Puerto Rico,291,1213,5707,71463
Madagascar,958,5175,14310,69681
Switzerland,942,3922,12632,66647
Guinea,2152,6615,24234,60934
China,410,1699,5378,57534
Burundi,1124,3640,11248,57456
Ireland,760,3490,10545,56960
Senegal,585,3745,10785,55970
Albania,1351,4785,12835,54942
Gabon,255,1466,5910,54116
South Korea,891,3822,11374,52244
United Arab Emirates,740,3435,10456,52078
Rwanda,2053,8221,22157,49894
Austria,580,2704,8830,49432
Sweden,794,3216,9492,49013
Mali,738,3817,10845,46061
Malawi,264,1311,5418,45456
Czech Republic,334,1807,6804,44928
Cape Verde,418,1630,5312,40185
Uzbekistan,1121,4774,13486,39085
Taiwan region,465,2041,6271,39053
Kazakhstan,849,3206,10215,38467
Togo,1438,6756,15550,38441
Liberia,792,3781,11066,38288
Haiti,477,3940,11697,38262
Jamaica,686,3175,9859,36150
Zimbabwe,422,1950,6147,35951
Saudi Arabia,492,2198,7176,34476
Serbia,588,2320,6376,34114
Greece,584,2516,7430,33019
Myanmar,265,1514,4674,32833
Afghanistan,292,1469,4740,30357
Croatia,321,1333,4925,30046
Congo,213,1088,3470,29524
Papua New Guinea,212,779,2463,29283
Tanzania,540,2244,6571,29173
Finland,472,2062,7386,28799
Nepal,435,1975,6006,27508
Dominican Republic,375,1659,5313,26774
Uruguay,95,369,1989,24780
Trinidad and Tobago,378,1923,5987,24709
Sudan,985,4265,9881,24457
Kyrgyzstan,801,2475,7494,22701
Mongolia,662,2696,7265,22384
Paraguay,140,648,2446,21091
Georgia,262,1229,4172,20968
Niger,326,1558,4767,20709
El Salvador,168,729,5361,20255
Chad,114,733,2242,19725
