#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 18, 2019 - Dec 16, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,916,3258,11841,108054
Brazil,643,2116,6890,53057
Colombia,10,26,385,7854
Mexico,11,30,370,7320
United States,32,150,513,4740
Venezuela,10,27,446,3705
Peru,2,4,113,3259
Ecuador,2,8,176,3041
Angola,28,115,406,2632
Nigeria,8,29,114,1706
Mozambique,8,51,201,1357
Chile,2,9,65,1253
Guatemala,1,5,94,1168
Russian Federation,21,56,216,899
Egypt,13,45,107,894
United Kingdom,9,19,76,719
Honduras,0,1,55,711
Costa Rica,2,4,49,673
Morocco,4,23,43,615
Panama,0,1,30,608
Portugal,5,25,54,601
Cote D Ivoire,4,25,83,542
South Africa,5,10,23,518
Democratic Republic of The Congo,6,43,93,492
Cameroon,2,14,67,471
Nicaragua,1,3,35,437
Algeria,12,28,54,430
France,2,17,44,425
Canada,2,11,50,396
Benin,4,23,59,358
Uganda,1,6,20,328
Ghana,1,5,16,324
Puerto Rico,0,1,15,298
Yemen,11,48,91,284
Lebanon,4,20,47,249
Papua New Guinea,0,0,4,241
Kenya,1,3,16,240
Germany,2,11,30,225
Spain,0,0,9,220
Argentina,0,4,12,206
Jordan,1,8,26,204
Gabon,1,3,25,186
Ethiopia,0,2,13,184
Zambia,1,2,6,179
Australia,3,13,23,171
Haiti,1,14,49,154
Madagascar,1,17,31,151
Cape Verde,3,8,19,149
Botswana,0,1,4,141
Ukraine,5,13,39,139
Congo,2,9,19,132
India,1,1,11,128
Philippines,3,5,23,123
Burkina Faso,0,5,17,117
Togo,1,17,36,115
Pakistan,0,3,7,107
Equatorial Guinea,0,0,11,104
Zimbabwe,0,1,2,97
Switzerland,1,5,13,91
Tunisia,1,7,13,85
Senegal,1,4,17,85
Belgium,0,4,12,78
Burundi,1,7,13,73
Uruguay,0,0,1,72
Belarus,0,7,23,71
Iraq,3,8,13,70
Japan,3,10,18,65
Italy,0,4,9,65
New Zealand,0,2,5,60
Netherlands,0,5,10,53
Malawi,0,0,2,52
Guinea,0,7,21,51
Chad,0,3,12,50
Swaziland,0,0,2,47
Paraguay,1,3,7,43
Ireland,1,2,3,42
Central African Republic,1,4,9,39
Liberia,0,0,1,39
