#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 18, 2019 - Dec 16, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26553,7412,2452,434
Indonesia,2150,921,429,17
Venezuela,1636,959,351,67
Mexico,1616,802,210,42
Colombia,1455,617,187,41
Argentina,1102,511,155,42
Philippines,1924,497,137,43
Guatemala,689,327,120,15
United States,5374,492,115,16
Ireland,833,332,80,16
India,918,191,57,9
Viet Nam,327,95,40,6
Cameroon,448,89,39,8
Singapore,499,95,32,10
Taiwan region,161,50,27,6
Uganda,212,78,23,1
Ghana,441,108,22,5
Australia,275,45,21,2
Ecuador,240,43,21,3
Lao Peoples Democratic Republic,45,26,21,4
Nigeria,358,116,20,3
Malaysia,331,58,20,8
Benin,73,30,18,0
Brazil,484,62,17,5
Democratic Republic of The Congo,236,47,17,4
Nepal,43,21,15,8
South Africa,244,41,13,2
New Zealand,343,56,12,3
China,158,23,12,2
United Kingdom,231,35,11,3
Kenya,385,63,10,2
Hong Kong SAR of China,202,35,10,3
Romania,37,11,10,4
Gabon,67,12,9,1
Egypt,51,18,9,3
Cote D Ivoire,111,36,8,1
France,104,18,8,2
Gambia,23,15,8,0
Thailand,250,31,7,5
Ukraine,93,17,7,0
Cambodia,85,30,7,4
El Salvador,73,19,7,1
Tunisia,70,14,7,2
Lebanon,51,12,7,1
Tanzania,25,11,7,1
Burkina Faso,20,13,7,0
Germany,114,20,6,1
Panama,93,13,6,0
Peru,74,14,6,1
Zambia,118,21,5,0
Russian Federation,102,42,5,1
Myanmar,72,19,5,1
Turkey,58,9,5,0
Togo,53,15,5,1
Liberia,52,15,5,1
Congo,50,13,5,0
Kazakhstan,47,13,5,1
Guyana,43,12,5,0
Mali,38,14,5,1
Ethiopia,231,28,4,1
Canada,179,17,4,1
South Korea,138,14,4,1
Chile,77,6,4,0
Algeria,38,10,4,1
Swaziland,23,15,4,0
Central African Republic,20,17,4,0
Suriname,16,6,4,0
Netherlands,56,11,3,0
Kyrgyzstan,54,16,3,0
Jordan,51,5,3,1
Nicaragua,42,13,3,1
Italy,42,10,3,1
Bolivia,40,11,3,1
Moldova,34,13,3,0
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
United Arab Emirates,216,18,2,0
Costa Rica,141,10,2,0
Japan,100,9,2,1
Spain,94,8,2,0
Poland,59,5,2,0
Somalia,58,7,2,0
Timor-Leste,47,15,2,1
Burundi,39,11,2,0
Iraq,32,5,2,1
Belgium,26,5,2,0
Chad,25,5,2,0
Bhutan,22,5,2,0
Belarus,10,5,2,0
Portugal,6,2,2,0
Zimbabwe,90,11,1,1
Haiti,57,6,1,0
Saudi Arabia,55,7,1,0
Dominican Republic,52,4,1,0
Puerto Rico,48,7,1,0
Fiji,40,8,1,0
Bangladesh,33,9,1,0
Albania,31,5,1,0
Mongolia,30,14,1,0
Papua New Guinea,29,3,1,1
Kuwait,28,4,1,0
Angola,27,8,1,0
Paraguay,27,7,1,0
Qatar,23,5,1,1
Rwanda,20,7,1,0
Lithuania,16,2,1,0
Morocco,14,3,1,0
Czech Republic,13,4,1,1
Senegal,12,3,1,0
Israel,11,1,1,1
Mozambique,9,4,1,0
Sweden,9,2,1,0
Cuba,8,2,1,0
Finland,8,2,1,0
Guinea,8,2,1,0
Libyan Arab Jamahiriya,7,1,1,0
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Honduras,76,7,0,0
Madagascar,57,7,0,0
Mauritius,50,5,0,0
Trinidad and Tobago,45,3,0,0
Malawi,36,5,0,0
Barbados,26,4,0,0
