#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 6, 2019 - Dec 4, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,740359,2881293,10366342,57726867
United States,211471,749773,2263400,10363949
Brazil,62165,209671,672922,6498809
Mexico,6703,28602,498442,3938479
Turkey,38912,214395,689291,2758907
India,35779,123027,686966,2722214
Colombia,4822,21480,263712,2340680
Indonesia,27850,90130,483247,2303604
Nigeria,43199,171643,556820,2265965
Egypt,14979,64692,180775,1433895
Poland,14365,93040,251338,1398632
Romania,12763,47613,122497,1168947
Hungary,11195,34302,80907,908721
Peru,1922,7449,86276,907656
Ecuador,1655,9044,152729,859165
Philippines,19426,80817,252889,756157
Venezuela,2724,14161,136497,740345
France,7378,32859,93809,739495
Chile,807,3924,83592,712587
United Kingdom,11568,47108,134637,699479
Canada,14053,50951,147883,677693
Russian Federation,12175,51310,131150,613595
Democratic Republic of The Congo,6329,23420,69213,448301
Morocco,3816,12540,34806,436397
Slovakia (Slovak Republic),4008,16822,48208,400358
Guatemala,1098,5974,76259,396461
South Africa,5646,25416,76114,376340
Algeria,5239,15820,59700,366592
Cameroon,5582,24688,78858,360216
Australia,5401,23100,72039,343738
Angola,3937,16190,57702,340428
Germany,6054,27940,71901,336268
Kenya,5753,23694,66914,332189
Honduras,469,2711,70446,327166
Uganda,3908,16257,62390,316478
Costa Rica,648,2941,56343,304253
Pakistan,4744,16365,46094,296572
Ethiopia,4542,18674,63492,279055
Lebanon,5026,18604,42360,270823
Cote D Ivoire,4145,17837,50899,265006
Ghana,3619,17553,59516,259654
Singapore,4279,17812,51651,252888
Zambia,2942,13930,49790,218843
Portugal,1221,3809,9914,214437
Jordan,2463,7885,21941,209699
Mozambique,2851,12050,38118,209394
Ukraine,4336,15976,39889,205616
Japan,2429,10247,30597,197430
Nicaragua,292,1846,31910,170015
Benin,2427,9336,30636,167338
Bulgaria,3392,13849,37541,166852
Italy,4172,17568,38894,164023
Malaysia,1931,8103,23066,162159
Panama,542,2197,31189,156333
Tunisia,1540,5885,17283,152266
Viet Nam,2138,9159,27446,146870
Spain,1832,7557,18530,142630
Moldova,2435,7654,18414,124642
Iraq,2193,7083,21866,107754
Argentina,1500,6140,16931,107020
Yemen,3690,10564,21423,101672
Netherlands,1822,7339,23248,98298
Burkina Faso,2064,6412,20035,93258
Belgium,958,4314,11799,82663
New Zealand,1386,5299,15640,79689
Belarus,1383,5530,16464,76500
Thailand,1157,4157,13253,75905
Azerbaijan,997,4694,21082,75444
Puerto Rico,322,1358,6794,74237
Hong Kong SAR of China,854,4023,12476,72990
Bangladesh,1935,9034,25392,72459
Madagascar,1417,5229,14729,69708
Switzerland,985,4204,12793,69119
China,426,1813,5562,61548
Ireland,833,3653,10714,58723
Guinea,1583,7402,26208,58329
Senegal,1291,4204,11603,57184
Burundi,809,3461,11579,56963
Gabon,395,1720,6539,56061
Albania,943,4380,11161,54304
South Korea,1000,3990,11629,53471
United Arab Emirates,849,3490,10683,52237
Austria,731,3136,8781,51268
Sweden,809,3195,9554,49946
Czech Republic,556,2836,6779,48412
Rwanda,2130,7509,21223,46414
Malawi,351,1636,7279,45350
Mali,1240,4101,11468,45159
Cape Verde,415,1677,5536,41940
Kazakhstan,846,3290,10210,39359
Taiwan region,612,2056,7394,39222
Haiti,1134,4161,12132,38102
Uzbekistan,1327,4896,12587,37981
Liberia,987,3891,11396,36978
Togo,2218,6375,15265,36199
Zimbabwe,524,2115,6383,35993
Jamaica,820,3567,10016,35852
Saudi Arabia,527,2327,7144,34677
Serbia,505,2043,5968,34397
Greece,624,2690,7289,33078
Myanmar,335,1345,4428,32567
Afghanistan,430,1747,4728,30841
Congo,305,1154,3745,30617
Croatia,382,1550,4968,30408
Tanzania,624,2312,6674,29675
Papua New Guinea,213,771,2538,29553
Finland,529,2336,8094,28921
Dominican Republic,435,1639,5509,27691
Nepal,534,2119,6260,27453
Uruguay,72,650,2064,25846
Trinidad and Tobago,551,2210,6202,24814
Sudan,1266,4028,8717,22817
Kyrgyzstan,663,2327,7065,22633
Mongolia,774,2529,6897,22184
Paraguay,195,846,2596,21692
Georgia,323,1477,4165,21065
Chad,249,897,2249,20931
El Salvador,202,906,6149,20878
Niger,338,1639,4934,20289
Norway,266,1312,3810,19920
Iran (Islamic Republic of),61,417,1462,19455
Israel,271,1085,3432,18163
Armenia,303,1253,3342,17806
Sri Lanka,331,1461,4126,17516
Botswana,204,847,2518,16896
Kuwait,260,969,3055,16448
Lithuania,357,1409,3113,16236
Mauritius,244,1110,3153,15971
Bolivia,203,981,2884,15932
Lao Peoples Democratic Republic,80,353,1033,15688
Namibia,237,1017,3292,14819
Qatar,211,920,2829,13735
Slovenia,320,1260,3133,13662
Luxembourg,115,523,1398,13112
Cambodia,165,664,1741,12381
Denmark,211,958,2687,12083
Macedonia,210,804,2001,12010
Equatorial Guinea,31,165,2268,11854
Bahamas,253,1171,3279,11769
Syrian Arab Republic,191,741,2307,11747
Libyan Arab Jamahiriya,86,422,1932,10683
Swaziland,105,492,1634,9815
Oman,185,617,1866,9524
Cuba,35,123,478,8727
Guinea-Bissau,115,495,1735,8520
Tajikistan,218,1034,2416,8276
Bosnia and Herzegovina,128,538,1533,8128
Cyprus,122,492,1525,8084
Sierra Leone,146,638,1887,8049
Fiji,165,653,2057,7790
Reunion,126,484,1433,7637
Central African Republic,180,521,1396,7632
Saint Lucia,62,266,664,7184
Barbados,163,643,1824,7109
Bahrain,125,475,1433,6925
Somalia,120,448,1109,6551
Latvia,150,525,1426,6121
Guyana,165,640,1650,6109
Estonia,128,484,1359,5867
Palestinian Territories,87,343,962,5562
Martinique,86,343,887,5344
Lesotho,72,295,894,5262
Belize,98,411,1227,4655
South Sudan,123,497,1316,4539
Montenegro,108,461,1295,4434
Malta,67,309,860,4355
Curacao,40,225,635,4162
Sao Tome and Principe,81,287,737,3440
Guadeloupe,60,206,631,3349
Grenada,37,140,405,3336
Guam,51,253,733,3325
Antigua and Barbuda,38,97,244,3316
Brunei Darussalam,57,191,605,3232
Macau SAR of China,35,180,548,2930
Turkmenistan,24,94,869,2757
Maldives,33,183,616,2721
Bhutan,41,161,488,2463
Suriname,70,239,678,2270
French Guiana,18,108,347,2125
Cayman Islands,41,163,456,2119
Saint Vincent and The Grenadines,33,162,423,2035
Iceland,36,140,405,1961
