#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 2, 2019 - Nov 30, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,681371,2943813,10561579,57974343
United States,178750,740498,2255927,10399008
Brazil,44294,221356,666038,6550253
Mexico,7868,32817,535632,3975388
Turkey,25624,249223,693536,2782565
India,36571,116578,790619,2726814
Colombia,5560,23634,282770,2359069
Indonesia,24609,86983,492811,2309415
Nigeria,37734,171206,560522,2251776
Egypt,22612,68784,178850,1438375
Poland,14472,104557,250305,1402518
Romania,12805,49594,121135,1178118
Hungary,13367,34019,78011,918137
Peru,1784,7805,92055,917061
Ecuador,2044,10518,164033,863692
Philippines,23720,79980,252705,755150
Venezuela,3170,15193,145583,746707
France,7336,33494,93511,745424
Chile,825,4632,88224,721367
United Kingdom,11565,46848,133821,702868
Canada,13209,50336,145957,680243
Russian Federation,8760,51976,126312,609693
Democratic Republic of The Congo,6399,21694,70554,446053
Morocco,4175,12052,34044,436669
Slovakia (Slovak Republic),3875,18920,47640,405963
Guatemala,1186,6749,81393,398904
South Africa,5847,26009,76292,377453
Algeria,5423,15325,60370,365884
Cameroon,5628,25352,79579,358836
Australia,5463,24037,72742,344951
Angola,4867,17193,57906,343862
Germany,5702,28961,71003,337578
Kenya,5438,23407,66437,331412
Honduras,489,3595,75488,328946
Uganda,2268,16219,64578,315046
Costa Rica,674,3611,60772,305611
Pakistan,3864,15712,45128,295904
Ethiopia,4264,18445,64601,278277
Lebanon,7201,18296,41168,270387
Cote D Ivoire,4255,18485,50862,264186
Ghana,3828,18384,61462,259448
Singapore,4371,18103,51784,253318
Zambia,3093,14363,51876,218481
Portugal,1108,3619,9688,216026
Mozambique,3726,12444,38262,211826
Jordan,2484,7449,21067,209817
Ukraine,3266,15928,38458,205651
