#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 21, 2019 - Dec 19, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,945,3336,11747,107806
Brazil,666,2188,6906,53058
Colombia,7,25,368,7804
Mexico,18,38,344,7281
United States,32,150,512,4708
Venezuela,15,32,416,3693
Peru,6,8,107,3247
Ecuador,3,8,166,3031
Angola,23,114,397,2622
Nigeria,10,31,116,1701
Mozambique,13,54,205,1357
Chile,1,9,62,1247
Guatemala,1,4,90,1160
Egypt,14,49,113,898
Russian Federation,15,51,216,892
United Kingdom,5,20,73,717
Honduras,0,1,51,704
Costa Rica,3,3,46,671
Morocco,3,24,43,615
Panama,0,1,27,601
Portugal,4,25,52,598
Cote D Ivoire,5,22,82,535
South Africa,5,9,24,515
Democratic Republic of The Congo,4,41,93,487
Cameroon,1,12,61,470
Algeria,13,31,58,435
Nicaragua,1,3,31,433
France,1,16,43,425
Canada,4,15,53,396
Benin,2,22,57,357
Uganda,3,7,22,329
Ghana,1,2,16,324
Puerto Rico,0,1,14,293
Yemen,14,52,95,286
Lebanon,6,22,51,253
Kenya,1,3,16,238
Papua New Guinea,1,1,4,238
Germany,3,9,29,222
Spain,0,0,9,217
Jordan,3,10,27,205
Argentina,0,4,12,205
Gabon,0,3,23,184
Ethiopia,0,0,13,183
Zambia,1,1,5,179
Australia,1,10,23,170
Haiti,2,16,48,156
Cape Verde,2,7,20,149
Madagascar,1,17,31,149
Ukraine,4,13,41,139
Botswana,0,1,4,139
Congo,2,7,19,131
India,1,1,11,127
Philippines,4,6,22,122
Togo,2,17,37,116
Burkina Faso,0,4,17,115
Pakistan,0,3,7,107
Equatorial Guinea,1,1,11,104
Zimbabwe,0,1,2,97
Switzerland,0,5,13,91
Senegal,1,4,17,85
Tunisia,0,7,13,85
Belgium,1,4,11,77
Burundi,0,5,13,73
Uruguay,0,0,1,72
Iraq,2,8,13,69
Belarus,0,6,23,68
Japan,1,8,18,64
Italy,0,2,8,64
New Zealand,1,3,6,61
Netherlands,0,3,10,53
Malawi,0,0,2,52
Guinea,0,5,20,50
Chad,0,3,11,50
Swaziland,0,0,2,46
Paraguay,1,3,7,43
Ireland,1,2,3,42
Central African Republic,0,4,9,39
Liberia,0,0,1,39
