#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 17, 2019 - Dec 15, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,921,3195,11875,108196
Brazil,642,2057,6866,53097
Colombia,9,25,391,7869
Mexico,13,29,380,7338
United States,33,160,522,4760
Venezuela,8,23,449,3715
Peru,2,5,115,3269
Ecuador,3,8,182,3050
Angola,28,115,409,2631
Nigeria,7,28,113,1709
Mozambique,12,51,206,1358
Chile,3,10,66,1257
Guatemala,2,5,100,1173
Russian Federation,19,53,214,897
Egypt,15,45,107,894
United Kingdom,7,16,74,718
Honduras,0,1,57,712
Costa Rica,2,4,52,674
Morocco,4,23,43,614
Panama,0,3,30,609
Portugal,6,25,54,601
Cote D Ivoire,5,26,84,543
South Africa,3,8,21,518
Democratic Republic of The Congo,4,41,93,492
Cameroon,2,15,69,471
Nicaragua,2,3,37,438
Algeria,13,28,54,429
France,2,17,44,426
Canada,4,11,50,398
Benin,5,24,60,358
Uganda,1,6,20,328
Ghana,0,4,15,326
Puerto Rico,0,2,16,298
Yemen,12,47,90,284
Lebanon,4,21,47,249
Papua New Guinea,0,0,4,242
Kenya,1,3,17,240
Germany,1,11,29,224
Spain,0,0,10,220
Argentina,0,4,12,207
Jordan,1,8,26,204
Gabon,1,3,25,187
Ethiopia,0,3,14,184
Zambia,1,2,6,180
Australia,3,12,22,170
Haiti,1,14,49,154
Madagascar,2,16,31,150
Cape Verde,3,8,19,149
Botswana,0,1,4,141
Ukraine,6,14,39,139
Congo,1,8,19,132
India,0,0,10,127
Philippines,3,5,23,123
Burkina Faso,0,5,17,118
Togo,0,17,36,114
Pakistan,1,3,7,108
Equatorial Guinea,0,0,12,105
Zimbabwe,0,1,2,97
Switzerland,2,6,13,91
Tunisia,1,7,13,85
Senegal,1,4,17,85
Belgium,1,4,12,78
Burundi,1,7,14,74
Uruguay,0,0,1,73
Belarus,0,7,23,71
Iraq,3,8,13,70
Japan,3,10,18,65
Italy,0,4,9,65
New Zealand,0,2,6,60
Netherlands,0,5,10,54
Malawi,0,0,3,52
Guinea,0,7,21,51
Chad,0,3,12,50
Swaziland,0,0,2,47
Ireland,1,2,3,42
Paraguay,0,2,6,42
Central African Republic,1,4,9,39
Liberia,0,0,2,39
