#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 6, 2019 - Dec 4, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,841,3186,12368,109583
Brazil,563,2061,6943,53433
Colombia,4,27,448,8034
Mexico,4,36,474,7512
United States,39,157,536,4893
Venezuela,7,29,532,3808
Peru,0,8,148,3362
Ecuador,1,5,207,3110
Angola,32,125,457,2658
Nigeria,5,30,125,1725
Mozambique,15,57,223,1383
Chile,4,8,81,1293
Guatemala,1,4,123,1205
Russian Federation,14,74,201,895
Egypt,8,33,92,885
United Kingdom,1,14,66,736
Honduras,1,1,70,727
Costa Rica,1,4,63,685
Panama,1,7,43,617
Morocco,6,18,39,612
Portugal,7,23,51,610
Cote D Ivoire,10,30,84,545
South Africa,1,5,22,535
Democratic Republic of The Congo,5,34,93,486
Cameroon,5,21,76,478
Nicaragua,0,2,44,447
France,9,19,42,434
Algeria,4,14,44,418
Canada,0,10,48,402
Benin,7,19,59,352
Uganda,2,7,24,336
Ghana,1,7,20,332
Puerto Rico,0,2,17,306
Yemen,14,26,67,262
Lebanon,2,17,45,247
Spain,0,1,12,246
Papua New Guinea,0,0,5,246
Kenya,1,4,18,244
Germany,3,13,32,239
Argentina,1,2,14,209
Jordan,3,7,25,206
Gabon,0,7,30,193
Ethiopia,0,5,15,187
Zambia,0,1,5,182
Australia,2,9,20,172
Madagascar,7,16,32,153
Haiti,6,15,51,152
Cape Verde,0,7,18,151
Botswana,0,2,5,142
Ukraine,1,12,35,139
India,0,1,12,138
Congo,2,8,20,132
Burkina Faso,1,7,19,125
Philippines,1,2,23,121
Togo,8,19,40,112
Equatorial Guinea,0,1,18,110
Pakistan,0,1,4,105
Zimbabwe,0,1,4,99
Switzerland,3,6,11,93
Senegal,1,5,20,86
Tunisia,4,6,13,84
Belgium,4,6,13,82
Uruguay,0,0,1,76
Belarus,3,11,23,75
Burundi,0,8,15,75
Iraq,1,3,7,67
Italy,1,5,9,65
New Zealand,0,3,6,64
Japan,0,6,17,63
Netherlands,1,3,8,54
Malawi,0,0,3,54
Guinea,1,7,23,51
Chad,1,4,12,51
Swaziland,0,0,2,47
Ireland,0,1,2,44
Paraguay,1,1,6,43
Singapore,0,2,8,43
Liberia,0,0,4,40
