#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 11, 2019 - Dec 9, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,761267,2876415,10183502,57419201
United States,206865,759126,2264412,10275522
Brazil,70503,211151,672182,6441029
Mexico,6226,24826,454374,3898402
India,52813,147613,642889,2733905
Turkey,36153,185441,694856,2723664
Colombia,5028,18823,244417,2323117
Indonesia,32289,101367,470141,2304085
Nigeria,43652,173919,541382,2280980
Egypt,17735,72414,187351,1433498
Poland,10309,82500,248990,1388078
Romania,17330,52310,128150,1164713
Hungary,6444,33727,82300,898745
Peru,1855,6525,78424,897092
Ecuador,1720,6788,139788,853802
Philippines,20854,81935,254067,760476
Venezuela,2712,9999,127968,733290
France,7869,32717,94485,732668
Chile,847,3369,75672,702005
United Kingdom,10973,46977,135006,693714
Canada,14981,52776,150327,672344
Russian Federation,14395,46316,135876,617847
Democratic Republic of The Congo,7679,25666,68329,452002
Morocco,3280,13033,35049,435743
Slovakia (Slovak Republic),2586,13782,47026,395499
Guatemala,1120,4561,70149,393390
South Africa,5458,24673,75391,375497
Algeria,5070,17721,58379,367721
Cameroon,5658,23603,77265,362029
Australia,5305,22758,70769,340731
Angola,3399,15425,56236,336845
Germany,6131,26552,73106,334279
Kenya,5450,23509,66425,332798
Honduras,436,2186,64338,324651
Uganda,4754,16194,59423,317656
Costa Rica,657,2523,51351,303204
Pakistan,4049,16141,45680,296903
Ethiopia,4840,18989,60987,280183
Lebanon,4780,20234,44207,271969
Cote D Ivoire,3882,17100,50542,266181
Ghana,3206,16785,56289,259822
Singapore,4049,17286,51500,252160
Zambia,2733,13152,46488,219346
Portugal,1283,4275,10210,212115
Jordan,2738,8914,23029,209692
Mozambique,2080,11250,36922,206554
Ukraine,4406,14689,41058,204770
Japan,1666,9566,29913,194405
Nicaragua,270,1370,29163,168436
Benin,2264,9176,30241,168117
Bulgaria,3193,13222,37290,166155
Italy,5557,18452,41526,164461
Malaysia,1865,7987,22969,161806
Panama,485,2066,28367,155489
Tunisia,1630,6424,17566,152166
Viet Nam,1810,8823,27226,146376
Spain,2390,7826,19493,141123
Moldova,2540,8084,18931,124566
Iraq,2040,7655,22121,108471
Argentina,1460,5704,16749,105953
Yemen,3597,12248,23583,103198
Netherlands,1750,7028,23187,97400
Burkina Faso,2117,6569,20131,94118
Belgium,940,4255,11941,82109
New Zealand,1431,5346,15457,79206
Belarus,1560,5108,16783,76388
Thailand,1333,4381,13264,75112
Azerbaijan,901,4360,21161,75044
Puerto Rico,318,1257,6408,73505
Bangladesh,1566,8118,24963,73103
Hong Kong SAR of China,958,3738,12428,72927
Madagascar,1337,5377,14730,69922
Switzerland,1079,4174,12795,68513
China,425,1803,5543,60380
Guinea,1355,6709,25374,58876
Ireland,802,3642,10698,58213
Senegal,907,4100,11563,57227
Burundi,784,3396,11369,57192
Gabon,363,1680,6444,55920
Albania,1580,4696,11922,54447
South Korea,978,4007,11602,53045
United Arab Emirates,926,3547,10609,52222
Austria,635,2976,8832,50722
Sweden,821,3199,9509,49512
Czech Republic,419,2280,6805,47395
Rwanda,1902,7677,21284,47367
Mali,1030,4174,11399,45539
Malawi,424,1615,6460,45461
Cape Verde,346,1595,5416,41260
Taiwan region,623,2087,7091,39244
Kazakhstan,759,3165,10263,39189
Uzbekistan,1243,4837,12937,38351
Haiti,1057,4328,12250,38292
Liberia,921,3995,11195,37387
Togo,1715,6620,15464,36941
Zimbabwe,506,2110,6339,36066
Jamaica,791,3496,10075,35921
Saudi Arabia,553,2332,7188,34634
Serbia,652,2170,6145,34337
Greece,634,2661,7344,33075
