#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 7, 2019 - Dec 5, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,751372,2868192,10316145,57677158
United States,213644,748949,2263025,10352383
Brazil,63371,206508,671085,6484307
Mexico,6606,28267,490249,3931428
Turkey,40275,206403,687679,2756776
India,38547,126911,671147,2724089
Colombia,4670,21240,260022,2337280
Indonesia,28791,90823,479385,2303637
Nigeria,44770,172252,555027,2269485
Egypt,15327,65531,182507,1432583
Poland,13828,90849,249764,1397446
Romania,13459,48061,122690,1168447
Hungary,9946,34079,80791,907133
Peru,1881,7444,84791,905858
Ecuador,1598,8954,150226,858363
Philippines,19576,80227,253410,756974
Venezuela,2618,14096,134743,739136
France,7524,32749,93785,737989
Chile,793,3869,82175,710537
United Kingdom,11500,47133,134478,698609
Canada,14259,50331,148173,676751
Russian Federation,12849,50632,131836,614290
Democratic Republic of The Congo,6402,23623,68885,448768
Morocco,3973,12783,35103,436426
Slovakia (Slovak Republic),3935,16190,48046,399682
Guatemala,1114,5903,75030,395927
South Africa,5608,25179,75936,376198
Algeria,5423,16086,59661,366932
Cameroon,5630,24365,78555,360520
Australia,5626,23039,71907,343445
Angola,3627,15829,57442,339435
Germany,6158,27748,72075,335989
Kenya,5775,23629,66828,332333
Honduras,440,2688,69292,326715
Uganda,4309,16217,61276,316744
Costa Rica,622,2877,55299,304021
Pakistan,4878,16375,46157,296853
Ethiopia,4710,18808,62842,279373
Lebanon,5125,18946,42935,271136
Cote D Ivoire,3974,17506,50776,265072
Ghana,3588,17355,58944,259736
Singapore,4208,17786,51605,252650
Zambia,2919,13804,49217,218984
Portugal,1221,3897,9955,214110
Jordan,2688,8186,22330,209705
Mozambique,2570,11824,37923,208768
Ukraine,4325,15810,40031,205456
Japan,2276,10104,30417,196887
Nicaragua,287,1818,31442,169755
Benin,2438,9285,30569,167451
Bulgaria,3389,13692,37451,166752
Italy,4489,17819,39355,164117
Malaysia,1913,8070,23050,162092
Panama,529,2179,30616,156191
Tunisia,1624,5958,17379,152219
Viet Nam,2030,9063,27342,146735
Spain,1961,7643,18654,142313
Moldova,2556,7753,18461,124770
Iraq,2286,7240,21999,108008
Argentina,1480,6118,16879,106798
Yemen,3749,10948,21938,102024
Netherlands,1860,7235,23212,98169
Burkina Faso,2067,6318,19992,93347
Belgium,953,4285,11795,82567
New Zealand,1417,5291,15556,79676
Belarus,1502,5611,16540,76558
Thailand,1157,4128,13252,75728
Azerbaijan,977,4634,21025,75425
Puerto Rico,322,1366,6710,74122
Hong Kong SAR of China,871,3827,12462,72983
Bangladesh,1887,8831,25301,72571
Madagascar,1405,5229,14715,69691
Switzerland,982,4182,12779,68983
China,435,1810,5578,61334
Ireland,825,3635,10675,58636
Guinea,1463,7234,26039,58398
Senegal,1205,4142,11593,57146
Burundi,781,3431,11533,56978
Gabon,403,1714,6524,56035
Albania,956,4340,11195,54257
South Korea,1041,4026,11618,53388
United Arab Emirates,882,3516,10672,52272
Austria,737,3099,8768,51196
Sweden,808,3186,9530,49901
Czech Republic,541,2768,6791,48233
Rwanda,2067,7554,21241,46620
Malawi,353,1605,7043,45354
Mali,1206,4090,11468,45216
Cape Verde,372,1654,5533,41783
Kazakhstan,837,3252,10237,39306
Taiwan region,627,2026,7318,39227
Haiti,1169,4205,12185,38139
Uzbekistan,1299,4891,12654,38004
Liberia,988,3927,11341,37074
Togo,2156,6391,15298,36326
Zimbabwe,530,2098,6392,35993
Jamaica,825,3548,10028,35853
Saudi Arabia,517,2311,7149,34653
Serbia,545,2052,5999,34412
Greece,641,2681,7290,33093
Myanmar,352,1328,4441,32570
Afghanistan,426,1741,4738,30818
Congo,310,1151,3739,30586
Croatia,363,1527,4957,30384
Tanzania,606,2328,6684,29630
Papua New Guinea,219,774,2526,29554
Finland,503,2303,8031,28924
Dominican Republic,447,1652,5503,27646
