#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 9, 2019 - Dec 7, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,922,3149,12174,109250
Brazil,639,2022,6890,53355
Colombia,5,24,429,7995
Mexico,1,28,442,7477
United States,46,173,528,4865
Venezuela,7,24,506,3780
Peru,0,7,138,3342
Ecuador,2,5,203,3098
Angola,27,118,448,2644
Nigeria,6,26,121,1721
Mozambique,15,57,219,1372
Chile,3,9,79,1287
Guatemala,2,4,113,1194
Russian Federation,12,61,200,895
Egypt,11,38,95,888
United Kingdom,4,15,68,731
Honduras,0,1,67,723
Costa Rica,1,3,60,683
Panama,0,6,38,617
Morocco,6,21,41,616
Portugal,6,25,53,606
Cote D Ivoire,9,27,82,544
South Africa,0,5,21,530
Democratic Republic of The Congo,10,40,93,490
Cameroon,4,19,76,477
Nicaragua,1,3,44,448
France,4,19,42,432
Algeria,3,15,42,419
Canada,1,8,49,399
Benin,7,21,60,354
Uganda,2,7,23,334
Ghana,1,5,19,330
Puerto Rico,0,2,16,302
Yemen,18,35,76,271
Lebanon,5,21,47,249
Papua New Guinea,0,0,4,245
Kenya,1,4,18,244
Spain,0,1,10,238
Germany,2,12,31,235
Argentina,3,4,13,210
Jordan,3,7,25,205
Gabon,0,6,27,190
Ethiopia,0,5,15,187
Zambia,0,1,5,181
Australia,1,9,20,169
Haiti,5,14,50,152
Madagascar,4,15,32,151
Cape Verde,1,7,18,149
Botswana,0,1,4,142
Ukraine,1,12,34,138
India,0,1,11,136
Congo,1,8,20,132
Burkina Faso,1,6,19,125
Philippines,2,3,23,122
Togo,7,21,41,114
Equatorial Guinea,0,1,14,110
Pakistan,1,2,5,106
Zimbabwe,0,1,2,98
Switzerland,3,5,11,92
Tunisia,6,8,14,86
Senegal,0,4,19,86
Belgium,3,6,13,81
Belarus,1,11,23,75
Burundi,0,6,14,75
Uruguay,0,0,1,74
Iraq,4,6,10,69
Italy,0,4,9,65
New Zealand,0,3,6,63
Japan,1,7,18,62
Netherlands,2,4,9,54
Malawi,0,0,3,53
Guinea,0,7,23,51
Chad,0,4,12,50
Swaziland,0,0,2,47
Paraguay,1,1,6,42
Ireland,0,1,2,42
Singapore,0,2,7,40
Liberia,0,0,4,39
