#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 13, 2019 - Dec 11, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,746922,2867154,10115883,57268781
United States,206078,756915,2266901,10239446
Brazil,70582,209900,672512,6413735
Mexico,6718,24755,439660,3879483
India,54945,155437,625344,2735876
Turkey,33510,176669,696661,2708844
Colombia,5830,18532,237828,2314943
Indonesia,30197,102220,463199,2297504
Nigeria,39004,171734,536986,2284560
Egypt,17818,75159,189044,1434430
Poland,9594,78618,248060,1384619
Romania,17503,53087,129622,1161260
Hungary,6499,34530,83129,894131
Peru,1876,6513,75496,892710
Ecuador,2028,6627,134837,851179
Philippines,23154,84458,256740,761396
France,7852,32314,94384,730273
Venezuela,3096,9736,124611,730084
Chile,974,3370,72990,698156
United Kingdom,10805,46573,135084,691880
Canada,14790,53160,150961,669835
Russian Federation,13069,46510,137690,618900
Democratic Republic of The Congo,7833,26510,67746,453568
Morocco,2595,13148,35095,435409
Slovakia (Slovak Republic),2659,13265,47252,394461
Guatemala,1071,4304,67805,391848
South Africa,5293,24036,75144,374987
Algeria,4890,18666,57986,368379
Cameroon,5282,23006,76507,362502
Australia,5154,22213,70286,339521
Angola,3583,15200,55386,335633
Germany,6115,26027,73717,333389
Kenya,5204,23145,66428,332962
Honduras,413,1968,61790,323393
Uganda,3901,15938,57684,317658
Costa Rica,713,2453,49264,302723
Pakistan,3280,15661,45568,296739
Ethiopia,4580,18900,60299,280456
Lebanon,4386,20540,44449,271960
Cote D Ivoire,3606,16674,50336,266380
Ghana,3149,16531,55555,259973
Singapore,4012,17162,51373,252094
Zambia,2471,12851,45089,219545
Portugal,1503,4537,10382,211136
Jordan,2287,9082,23176,209604
Mozambique,1989,10897,36213,205129
Ukraine,3754,14682,41339,204400
Japan,1551,9344,29606,193235
Benin,2069,9031,29963,168371
Nicaragua,255,1238,28025,167547
