#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 6, 2019 - Dec 4, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26299,7508,2717,518
Indonesia,2162,908,614,97
Venezuela,1485,891,364,66
Mexico,1533,826,238,48
Colombia,1373,598,201,40
Argentina,1034,513,153,32
United States,5476,517,148,20
Philippines,1891,575,130,32
Guatemala,649,314,129,26
Ireland,781,323,109,14
India,932,206,59,13
Viet Nam,327,111,48,19
Ghana,445,109,33,7
Singapore,504,90,28,7
Cameroon,437,81,28,5
Uganda,217,92,24,4
Ecuador,240,52,22,4
Nigeria,368,122,21,2
Taiwan region,160,45,21,12
Australia,286,56,20,4
New Zealand,343,61,18,0
South Africa,245,49,18,4
Lao Peoples Democratic Republic,40,21,18,1
Malaysia,338,61,16,4
Democratic Republic of The Congo,232,46,16,2
Benin,88,31,16,0
Brazil,485,70,15,4
Hong Kong SAR of China,204,35,14,3
United Kingdom,235,35,12,1
Gambia,22,18,11,1
Ukraine,99,19,10,3
Egypt,51,16,10,1
Timor-Leste,47,33,10,0
Mali,37,16,9,0
Burkina Faso,19,13,9,1
Kenya,382,77,8,0
China,185,19,8,3
South Korea,142,19,8,1
Canada,182,19,7,2
Cambodia,92,26,7,2
Panama,92,15,7,1
Myanmar,74,19,7,1
Liberia,53,24,7,1
Lebanon,53,10,7,3
Cote D Ivoire,110,33,6,1
Russian Federation,104,42,6,0
Peru,76,13,6,0
Tunisia,70,15,6,1
Togo,53,15,6,0
Bolivia,38,10,6,1
Thailand,259,34,5,1
Germany,115,21,5,0
France,98,13,5,0
El Salvador,93,17,5,2
Moldova,34,13,5,1
Central African Republic,20,16,5,1
Suriname,16,6,5,1
Ethiopia,240,28,4,1
Chile,78,6,4,1
Congo,48,12,4,1
Guyana,43,11,4,2
Tanzania,21,6,4,1
United Arab Emirates,220,28,3,0
Costa Rica,143,10,3,2
Zambia,118,20,3,1
Gabon,62,6,3,0
Poland,60,6,3,0
Turkey,59,8,3,2
Somalia,59,6,3,0
Kazakhstan,55,13,3,1
Puerto Rico,48,12,3,0
Fiji,42,11,3,0
Burundi,39,11,3,0
Nepal,31,11,3,1
Belgium,28,5,3,1
Belarus,10,5,3,0
Spain,96,6,2,0
Haiti,58,8,2,0
Saudi Arabia,55,9,2,0
Netherlands,54,9,2,0
Jordan,54,5,2,1
Nicaragua,42,13,2,1
Algeria,38,10,2,1
Kuwait,29,6,2,1
Romania,29,3,2,0
Iraq,29,3,2,0
Angola,28,10,2,0
Barbados,27,4,2,0
Chad,25,4,2,0
Qatar,22,4,2,0
Swaziland,20,12,2,1
Sierra Leone,16,10,2,2
Pakistan,16,6,2,1
Senegal,16,3,2,0
Morocco,14,3,2,1
Mozambique,10,4,2,1
Portugal,7,2,2,1
Grenada,3,2,2,0
Japan,120,9,1,0
Zimbabwe,89,12,1,0
Kyrgyzstan,63,19,1,0
Dominican Republic,52,4,1,0
Mauritius,51,9,1,0
Trinidad and Tobago,46,4,1,0
Malawi,41,4,1,0
Italy,40,8,1,0
Bangladesh,33,11,1,0
Albania,32,5,1,1
Mongolia,31,16,1,1
Paraguay,27,8,1,1
Rwanda,20,6,1,0
Hungary,17,4,1,0
Lithuania,16,2,1,1
Macau SAR of China,10,1,1,0
Sweden,9,2,1,1
Finland,8,2,1,0
South Sudan,3,2,1,0
Syrian Arab Republic,3,1,1,0
Uzbekistan,3,1,1,0
Honduras,76,8,0,0
Madagascar,56,10,0,0
Papua New Guinea,27,2,0,0
Jamaica,23,9,0,0
Bhutan,21,3,0,0
Sri Lanka,20,3,0,0
Tonga,20,2,0,0
