#=================================================================
# GodTools
# Report Suite: God Tools Mobile App
"# Date: Dec 26, 2019 - Dec 24, 2020"
#=================================================================


##############################################
# GodTools Digital Missionaires
##############################################
,Active User (GodTools),Active User (GodTools),Active User (GodTools),Active User (GodTools)
,Last FULL 365 days (-2),Last FULL 90 days (-2),Last FULL 30 days (-2),Last FULL 7 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,26750,7440,2086,389
Venezuela,1717,1004,318,51
Mexico,1687,833,222,46
Indonesia,2177,902,218,14
Colombia,1498,644,160,33
Philippines,1939,475,143,26
Argentina,1135,520,140,24
United States,5338,472,98,31
Guatemala,712,342,90,16
Ireland,858,345,79,13
India,913,183,43,10
Cameroon,450,94,42,10
Viet Nam,312,96,36,4
Malaysia,329,71,34,22
Singapore,476,96,28,2
Taiwan region,152,48,27,2
Ecuador,244,46,26,2
Brazil,487,62,17,3
Democratic Republic of The Congo,238,44,17,0
Australia,275,46,16,3
Nepal,43,21,16,2
Ghana,436,92,15,1
Nigeria,363,104,15,1
New Zealand,342,56,14,4
Cambodia,89,38,14,7
Lao Peoples Democratic Republic,48,28,14,2
Kenya,389,62,13,3
South Africa,245,44,13,0
China,135,24,11,2
Russian Federation,109,51,11,7
Cote D Ivoire,112,38,10,5
Gabon,68,12,10,2
Ethiopia,225,29,9,5
Romania,37,11,9,0
Hong Kong SAR of China,193,30,8,0
Tunisia,65,14,8,1
United Kingdom,235,39,7,2
France,103,18,7,1
Thailand,245,27,6,0
Uganda,208,47,6,0
Turkey,52,11,6,2
Egypt,51,18,6,2
Mali,41,17,6,3
Tanzania,27,13,6,1
Gambia,23,15,6,0
Canada,179,16,5,2
Panama,93,13,5,0
Benin,73,31,5,0
El Salvador,73,20,5,1
Togo,53,16,5,2
Lebanon,47,12,5,1
Kazakhstan,46,13,5,1
Algeria,36,11,5,1
Swaziland,24,16,5,1
Zambia,113,21,4,0
Ukraine,88,15,4,0
Guyana,44,13,4,0
Italy,43,11,4,2
Burkina Faso,22,15,4,1
South Korea,132,15,3,1
Japan,96,11,3,1
Peru,73,11,3,1
Myanmar,70,17,3,0
Kyrgyzstan,53,15,3,1
Somalia,53,9,3,0
Liberia,51,15,3,1
Congo,50,11,3,1
Timor-Leste,49,16,3,0
Nicaragua,43,14,3,1
Bhutan,23,6,3,0
Central African Republic,20,15,3,0
Sierra Leone,17,11,3,0
Pakistan,17,5,3,0
Suriname,16,6,3,0
Costa Rica,141,10,2,0
Germany,114,18,2,0
Spain,92,8,2,0
Zimbabwe,89,11,2,0
Poland,58,5,2,0
Netherlands,55,10,2,0
Saudi Arabia,54,7,2,2
Mauritius,53,7,2,1
Dominican Republic,52,5,2,1
Jordan,51,5,2,0
Bolivia,40,11,2,0
Moldova,33,13,2,1
Iraq,30,5,2,0
Angola,28,7,2,1
Chad,27,6,2,1
Belgium,25,5,2,1
Lithuania,17,3,2,1
Portugal,6,2,2,0
United Arab Emirates,212,15,1,0
Honduras,77,8,1,1
Chile,76,5,1,0
Madagascar,58,8,1,0
Haiti,55,5,1,0
Burundi,39,9,1,0
Malawi,37,6,1,0
Bangladesh,33,6,1,0
Albania,32,5,1,0
Mongolia,29,13,1,1
Kuwait,28,4,1,1
Papua New Guinea,28,3,1,0
Paraguay,27,7,1,0
Qatar,23,4,1,0
Rwanda,20,4,1,0
Morocco,14,3,1,0
Senegal,12,3,1,0
Czech Republic,11,4,1,0
Israel,11,1,1,0
Solomon Islands,10,1,1,0
Mozambique,9,4,1,0
Sweden,9,2,1,0
Cuba,8,2,1,0
Guinea,8,2,1,0
Sudan,6,1,1,1
South Sudan,4,3,1,0
Syrian Arab Republic,4,2,1,0
Cyprus,4,1,1,1
Niger,4,1,1,0
Malta,1,1,1,1
Puerto Rico,48,6,0,0
Trinidad and Tobago,46,4,0,0
Fiji,39,8,0,0
Barbados,27,4,0,0
