#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 11, 2019 - Dec 9, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,949,3183,12052,108998
Brazil,647,2050,6852,53288
Colombia,5,21,421,7971
Mexico,4,27,419,7447
United States,45,173,523,4825
Venezuela,9,24,490,3764
Peru,0,6,131,3324
Ecuador,3,6,193,3092
Angola,28,117,440,2641
Nigeria,5,24,118,1711
Mozambique,21,61,221,1369
Chile,3,10,78,1280
Guatemala,2,5,110,1192
Egypt,12,40,97,891
Russian Federation,8,55,201,890
United Kingdom,5,15,70,726
Honduras,0,1,65,719
Costa Rica,1,3,57,682
Morocco,6,20,42,616
Panama,0,5,35,616
Portugal,6,25,55,604
Cote D Ivoire,6,28,82,543
South Africa,0,5,19,527
Democratic Republic of The Congo,10,42,94,491
Cameroon,5,18,73,477
Nicaragua,2,3,44,446
France,5,19,42,430
Algeria,5,18,45,421
Canada,4,9,49,400
Benin,7,22,60,355
Ghana,1,5,18,330
Uganda,2,7,23,329
Puerto Rico,0,2,16,301
Yemen,18,41,82,277
Lebanon,5,21,46,249
Papua New Guinea,0,0,4,243
Kenya,1,4,17,242
Spain,0,0,10,237
Germany,0,12,30,233
Argentina,3,4,13,210
Jordan,2,7,25,205
Gabon,1,7,26,190
Ethiopia,0,5,14,186
Zambia,0,1,5,181
Australia,2,10,20,170
Haiti,3,14,50,153
Madagascar,7,17,34,150
Cape Verde,1,6,16,149
Botswana,0,1,4,142
Ukraine,2,11,35,139
India,0,1,11,133
Congo,1,8,19,132
Burkina Faso,1,5,18,123
Philippines,2,2,22,121
Togo,6,21,39,114
Equatorial Guinea,0,0,12,110
Pakistan,3,3,7,108
Zimbabwe,0,1,2,97
Switzerland,2,6,12,92
Senegal,1,5,19,87
Tunisia,5,8,13,86
Belgium,3,6,13,81
Burundi,0,6,14,75
Uruguay,0,0,1,74
Belarus,1,10,23,72
Iraq,4,5,10,69
Italy,0,4,9,65
New Zealand,0,3,6,63
Japan,1,7,17,62
Netherlands,2,5,10,55
Malawi,0,0,3,53
Guinea,0,7,22,51
Chad,0,4,12,50
Swaziland,0,0,2,47
Paraguay,2,2,6,43
Ireland,0,1,2,42
Central African Republic,1,3,8,39
Singapore,0,1,7,39
