#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 3, 2019 - Dec 1, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,701,3301,12399,110094
Brazil,433,2176,6845,53576
Colombia,5,28,478,8083
Mexico,10,39,510,7571
United States,36,161,558,4955
Venezuela,7,33,553,3843
Peru,0,8,160,3382
Ecuador,2,8,220,3128
Angola,28,128,451,2668
Nigeria,7,30,128,1728
Mozambique,11,56,218,1392
Chile,2,8,89,1305
Guatemala,1,7,130,1215
Russian Federation,11,76,202,901
Egypt,9,33,90,886
United Kingdom,2,17,69,749
Honduras,1,1,73,736
Costa Rica,0,3,67,688
Panama,1,7,48,619
Portugal,7,22,50,612
Morocco,7,16,37,610
South Africa,1,6,23,548
Cote D Ivoire,6,29,82,545
Democratic Republic of The Congo,13,34,90,486
Cameroon,4,22,76,479
Nicaragua,0,3,48,449
France,6,16,38,436
Algeria,5,13,44,419
Canada,2,13,49,414
Benin,7,20,59,351
Uganda,1,6,23,337
Ghana,0,7,19,334
Puerto Rico,1,2,19,310
Yemen,12,22,62,258
Spain,0,1,13,250
Papua New Guinea,0,0,5,247
Lebanon,5,16,46,246
Kenya,0,3,18,246
Germany,2,13,32,241
Argentina,1,2,14,211
Jordan,2,6,23,205
Gabon,1,8,31,193
Ethiopia,0,5,15,189
Zambia,0,1,5,182
Australia,3,9,20,173
Cape Verde,0,8,19,152
Madagascar,6,13,29,149
Haiti,4,12,50,149
Botswana,1,3,5,142
India,0,2,12,141
Ukraine,0,13,34,140
Congo,2,7,20,131
Burkina Faso,3,6,19,125
Philippines,0,1,22,120
Equatorial Guinea,0,2,18,113
Togo,8,16,37,109
Pakistan,0,1,4,105
Zimbabwe,1,1,4,99
Switzerland,1,5,9,92
Senegal,2,5,20,87
Belgium,2,4,11,83
Tunisia,0,3,9,81
Uruguay,0,0,1,76
Burundi,0,8,15,75
Belarus,4,11,22,74
Italy,1,5,10,66
Iraq,1,2,6,66
Japan,1,6,17,64
New Zealand,1,4,6,64
Netherlands,0,2,7,55
Malawi,0,0,3,55
Chad,3,5,12,53
Guinea,3,7,24,51
Swaziland,0,1,2,48
Ireland,0,2,3,46
Singapore,0,2,8,43
Paraguay,0,0,5,43
Liberia,0,1,5,40
