#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 16, 2019 - Dec 14, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,721120,2870913,10018194,57108520
United States,203648,767984,2262427,10206037
Brazil,78942,218110,679064,6382921
Mexico,7835,25968,419849,3857613
India,44260,164702,600538,2736794
Turkey,30712,153206,701625,2696930
Colombia,6955,19780,229772,2303564
Nigeria,33169,167642,532999,2291537
Indonesia,20625,100376,441965,2289172
Egypt,19723,82575,195434,1437897
Poland,9138,66787,246119,1379287
Romania,14017,55205,130896,1156870
Hungary,7700,36651,84533,888704
Peru,2095,6857,71703,886535
Ecuador,2450,7109,128418,848463
Philippines,22234,86669,256173,762961
France,7953,32356,94878,727114
Venezuela,4012,10707,120285,726409
Chile,1314,3687,69659,692417
United Kingdom,10752,46450,135102,690011
Canada,14493,54540,151611,667549
Russian Federation,12277,46637,140110,620795
Democratic Republic of The Congo,7298,26791,66940,454523
Morocco,2674,13860,35634,435021
Slovakia (Slovak Republic),2670,12630,46800,392638
Guatemala,975,4131,64496,390008
South Africa,5071,23545,74314,374654
Algeria,6125,21395,59596,370328
Cameroon,5024,22161,76143,363095
Australia,4631,21777,69062,338216
Angola,4175,14970,54847,334663
Kenya,4845,22333,66292,333238
Germany,5929,25368,74309,332378
Honduras,385,1875,57979,321730
Uganda,2757,14828,54566,317425
Costa Rica,1282,2936,46823,302480
Pakistan,2670,15071,45566,296514
Ethiopia,3997,18397,58859,280780
Lebanon,4521,22087,45879,272930
Cote D Ivoire,3448,15975,49886,266759
Ghana,3189,15828,54335,260204
Singapore,4048,16812,51160,252083
Zambia,2272,12086,43360,219839
Jordan,2179,9648,23818,209436
Portugal,1589,4625,10540,209426
Mozambique,2143,10338,35487,203847
Ukraine,3361,14462,41542,203240
Japan,1519,8867,29071,191488
Benin,2028,8669,29648,168555
Nicaragua,235,1156,26339,166413
Bulgaria,3167,13102,37327,165893
Italy,4055,17933,42588,163660
Malaysia,1721,7773,22937,161557
Panama,601,2105,25821,154480
Tunisia,2189,7542,18700,152895
Viet Nam,1734,8479,26868,145721
Spain,1972,7731,19915,139101
Moldova,1789,8442,19244,124247
Iraq,2180,8803,22901,109585
Argentina,1553,5635,16882,105118
Yemen,3480,14081,26021,104821
Netherlands,1529,6768,22923,96764
Burkina Faso,2031,7010,20421,94929
Belgium,937,4171,12056,81613
New Zealand,1338,5218,15198,78508
Belarus,1097,4881,16996,75735
Azerbaijan,1079,4229,21514,74931
Thailand,1308,4454,13171,74192
Bangladesh,1496,7843,24862,73799
Puerto Rico,320,1219,6142,72788
Hong Kong SAR of China,972,3765,12312,72651
Madagascar,1283,5421,14659,70091
Switzerland,1106,4075,12809,67877
Guinea,1404,6023,24501,59480
China,422,1737,5468,59309
Ireland,817,3597,10637,57678
Burundi,765,3328,11147,57346
Senegal,682,3977,11210,57127
Gabon,309,1611,6289,55622
Albania,1903,4598,12359,54497
South Korea,960,3956,11518,52678
United Arab Emirates,884,3599,10591,52186
Austria,581,2877,8887,50295
Sweden,759,3168,9509,49302
Rwanda,1721,7627,21540,48303
Czech Republic,415,1994,6882,46479
Mali,716,4014,11064,45710
Malawi,354,1495,5663,45472
Cape Verde,433,1563,5325,40818
Taiwan region,616,2161,6812,39263
Kazakhstan,836,3211,10343,38875
Uzbekistan,1238,4862,13185,38696
Haiti,754,4324,12134,38344
Liberia,929,4007,11080,37824
Togo,1276,6497,15338,37388
Zimbabwe,492,2069,6311,36075
Jamaica,745,3448,10008,36010
Saudi Arabia,568,2307,7177,34545
