#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 4, 2019 - Dec 2, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,751,3282,12397,109934
Brazil,501,2169,6900,53552
Colombia,5,28,464,8064
Mexico,7,38,495,7556
United States,35,157,549,4930
Venezuela,6,28,545,3830
Peru,0,8,154,3373
Ecuador,1,8,218,3116
Angola,30,128,453,2664
Nigeria,5,28,127,1729
Mozambique,10,54,218,1388
Chile,3,8,86,1303
Guatemala,1,7,126,1212
Russian Federation,12,77,203,900
Egypt,10,35,92,887
United Kingdom,1,17,69,749
Honduras,1,1,72,731
Costa Rica,0,3,66,687
Panama,1,7,45,618
Portugal,8,23,50,611
Morocco,8,17,38,611
South Africa,1,6,23,546
Cote D Ivoire,7,31,83,545
Democratic Republic of The Congo,8,36,92,487
Cameroon,3,19,76,479
Nicaragua,0,2,47,447
France,6,15,38,434
Algeria,3,14,43,420
Canada,2,11,49,408
Benin,6,19,59,351
Uganda,1,6,23,336
Ghana,0,7,19,332
Puerto Rico,0,2,18,309
Yemen,13,24,65,260
Spain,0,1,13,249
Papua New Guinea,0,0,5,247
Lebanon,3,16,45,246
Kenya,0,3,18,246
Germany,3,14,33,240
Argentina,1,2,14,210
Jordan,1,6,23,205
Gabon,1,8,30,193
Ethiopia,0,5,15,189
Zambia,0,1,5,182
Australia,3,9,20,173
Cape Verde,0,7,19,151
Haiti,5,13,50,150
Madagascar,5,13,29,149
Botswana,1,3,5,142
Ukraine,0,13,34,139
India,0,1,12,139
Congo,1,7,20,131
Burkina Faso,1,6,19,124
Philippines,0,1,22,120
Equatorial Guinea,0,2,18,111
Togo,6,16,37,109
Pakistan,0,1,4,105
Zimbabwe,1,1,4,99
Switzerland,2,5,10,93
Senegal,2,5,20,86
Belgium,2,4,11,82
Tunisia,1,4,10,82
Uruguay,0,0,1,76
Burundi,0,8,15,75
Belarus,4,10,22,74
Italy,1,5,10,66
Iraq,0,2,6,66
Japan,1,6,17,64
New Zealand,1,3,6,64
Netherlands,1,3,8,56
Malawi,0,0,3,54
Chad,2,5,12,52
Guinea,2,7,24,51
Swaziland,0,0,2,48
Ireland,0,1,3,46
Singapore,0,2,8,43
Paraguay,0,0,5,42
Liberia,0,1,5,40
