#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 12, 2019 - Dec 10, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,759935,2875478,10155698,57344123
United States,207256,759287,2266484,10256606
Brazil,71048,211248,673489,6427618
Mexico,6534,24678,446833,3888710
India,54140,151610,635257,2735214
Turkey,34792,180970,696105,2715316
Colombia,5447,18361,241088,2319001
Indonesia,32115,102428,467688,2301038
Nigeria,41503,172742,538747,2282337
Egypt,18259,73710,188100,1434004
Poland,9724,81131,248588,1386552
Romania,17732,52771,129006,1163353
Hungary,6368,34060,82772,896707
Peru,1891,6461,76956,894780
Ecuador,1888,6581,137351,852549
Philippines,22985,83895,256221,761808
Venezuela,2901,9649,126311,731620
France,7880,32570,94485,731458
Chile,911,3353,74299,700067
United Kingdom,10948,46853,135160,692736
Canada,14937,53054,150709,670966
Russian Federation,13735,46682,137136,618793
Democratic Republic of The Congo,7826,26059,68006,452748
Morocco,3123,13102,35106,435603
Slovakia (Slovak Republic),2711,13529,47223,394911
Guatemala,1084,4407,68987,392690
South Africa,5414,24407,75337,375232
Algeria,5040,18205,58050,368058
Cameroon,5543,23377,76894,362304
Australia,5216,22469,70560,340102
Angola,3470,15305,55815,336149
Germany,6190,26409,73495,333803
Kenya,5358,23350,66427,332838
Honduras,436,2038,63103,323986
Uganda,4406,16051,58517,317662
Costa Rica,682,2475,50348,302996
Pakistan,3621,15859,45566,296812
Ethiopia,4719,18906,60631,280280
Lebanon,4710,20393,44347,272011
Cote D Ivoire,3762,16879,50405,266291
Ghana,3137,16641,55904,259871
Singapore,4113,17233,51528,252191
Zambia,2617,12985,45659,219414
Portugal,1403,4402,10299,211620
Jordan,2608,8976,23089,209618
Mozambique,2012,11091,36619,205744
Ukraine,3980,14681,41255,204620
Japan,1571,9450,29795,193798
Benin,2200,9122,30123,168253
Nicaragua,247,1258,28594,167998
Bulgaria,3172,13099,37343,166075
Italy,5418,18355,41759,164305
Malaysia,1838,7948,22960,161734
Panama,508,2065,27893,155289
Tunisia,1706,6593,17719,152228
