#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 21, 2019 - Dec 19, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,703369,2857159,9847519,56764380
United States,195472,757060,2252823,10141507
Brazil,73704,236761,679804,6306003
Mexico,10399,30441,388446,3807339
India,28846,163135,532538,2733205
Turkey,27231,134517,705235,2674463
Nigeria,40013,164987,534284,2303795
Indonesia,14144,96300,408555,2284680
Colombia,7376,22568,217081,2276822
Egypt,29032,92983,210518,1447992
Poland,7626,52302,243152,1370784
Romania,12287,55925,133764,1150275
Hungary,9064,38958,86999,878702
Peru,2693,8104,66808,874214
Ecuador,2384,7763,118212,842860
Philippines,18531,84453,254405,765004
France,7795,31889,94938,720266
Venezuela,4748,12413,111690,719942
United Kingdom,10386,45083,134464,685349
Chile,1590,4239,64161,679473
Canada,13475,54265,152095,662538
Russian Federation,10633,45835,142520,619644
Democratic Republic of The Congo,6551,28034,67896,454516
Morocco,3669,14506,37033,434963
Slovakia (Slovak Republic),2160,11851,46944,386851
Guatemala,892,3846,58453,386399
Algeria,10256,26751,64113,375360
South Africa,4576,21868,72919,373255
Cameroon,5808,22230,75653,364147
Australia,4739,20760,67839,336532
Kenya,4758,21531,66293,334034
Angola,4819,16220,54987,332760
Germany,5856,24529,75256,330697
Honduras,387,1689,52073,317875
Uganda,1994,12466,53048,316779
Costa Rica,1673,3470,42957,300534
Pakistan,2528,14611,45723,295059
Ethiopia,4429,18319,58079,281552
Lebanon,6618,23949,48896,275339
Cote D Ivoire,3675,15493,49475,267201
Ghana,3349,14731,53275,260576
Singapore,3672,16100,50381,251727
Zambia,2649,11453,42118,220438
Jordan,3489,11014,25669,210370
Portugal,873,4580,10450,204377
Mozambique,2900,10955,35316,202498
Ukraine,2839,14095,41922,200453
Japan,1380,8098,28261,188469
Benin,2347,9016,29563,168376
Bulgaria,3131,12689,37319,165688
Nicaragua,202,1022,23887,164190
Italy,3047,16765,43160,162271
Malaysia,1828,7466,22855,161310
Tunisia,3086,8641,20200,153928
Panama,648,2220,23946,153122
Viet Nam,1636,8008,26528,144644
Spain,1708,7584,20270,137052
Moldova,1543,7997,19307,123802
Iraq,4017,10808,25033,111765
Yemen,5074,16129,29498,107671
Argentina,1486,5487,16878,103961
Netherlands,1538,6652,22707,96336
Burkina Faso,2252,7802,20946,95319
Belgium,950,4008,12112,81086
New Zealand,1137,5009,14974,78105
Azerbaijan,1086,4142,21780,74783
Bangladesh,1443,7493,24842,74487
Belarus,829,4661,17058,74481
Thailand,1275,4570,13122,73067
Hong Kong SAR of China,899,3621,12118,72525
Puerto Rico,291,1200,5913,71849
Madagascar,1059,5271,14494,69849
Switzerland,1018,3919,12721,67028
Guinea,1954,6350,24334,60523
China,420,1724,5384,58107
Burundi,1038,3557,11235,57512
Ireland,756,3508,10560,57153
Senegal,583,3812,11004,56332
Albania,1347,4681,12828,54826
Gabon,257,1490,6080,54555
South Korea,914,3918,11433,52371
United Arab Emirates,785,3476,10513,52114
Austria,606,2773,8895,49741
Rwanda,2008,8146,22022,49494
Sweden,783,3155,9480,49044
