#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 30, 2019 - Dec 28, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,665399,2842984,9569009,56009575
United States,165569,755912,2206707,10050385
Brazil,78869,279948,701628,6190707
Mexico,4770,29428,338081,3692555
India,74220,194018,526009,2760699
Turkey,27650,130755,685686,2626306
Nigeria,39141,162184,539590,2320787
Indonesia,11062,81579,355476,2268621
Colombia,3591,22002,191305,2224590
Egypt,24731,92142,225269,1442735
Poland,12395,44322,230564,1339364
Romania,10913,54807,138238,1104353
Peru,1461,8173,58497,850807
Ecuador,1149,7232,101238,831797
Hungary,2621,29184,83937,829839
Philippines,7699,67165,242334,760655
Venezuela,1548,11742,96573,707674
France,8149,32844,95828,705421
United Kingdom,9123,42683,132097,678274
Canada,10411,52969,149032,656639
Chile,1003,4607,55194,650020
Russian Federation,7344,44701,141994,612344
Democratic Republic of The Congo,6625,28344,69419,447983
Morocco,2502,12903,36662,431790
Guatemala,840,3392,50009,380731
Algeria,7800,29819,66488,379243
South Africa,4436,20020,70683,370968
Slovakia (Slovak Republic),2865,11574,44398,368592
Cameroon,6234,22878,74153,363596
Kenya,4199,19886,65407,334638
Australia,4220,19652,66443,333903
Angola,3662,16029,53570,331083
Germany,5546,23655,75800,326935
Uganda,2558,12141,52133,316049
Honduras,313,1432,43735,313074
Costa Rica,468,3502,36456,295894
Pakistan,2556,13244,46273,290681
Ethiopia,4566,18142,57993,282240
Lebanon,4119,20394,50763,275801
Cote D Ivoire,3964,15265,48740,265938
Ghana,3160,13341,52321,260551
Singapore,3623,15159,48771,250963
Zambia,2355,10366,41012,220586
Jordan,2369,10959,26553,208951
Mozambique,1717,9660,34138,201154
Portugal,858,4530,10460,198503
Ukraine,4724,15639,44144,196609
Japan,1277,6416,26717,182688
Bulgaria,3640,13179,37917,166163
Benin,2579,9617,29056,164982
Nicaragua,183,853,20030,161171
Malaysia,1500,6934,22303,160566
Italy,3229,15701,44791,159341
Tunisia,2299,9185,21244,154581
Panama,417,2118,20802,150864
Viet Nam,2150,7718,26550,142994
Spain,1438,7286,20703,132845
Moldova,1390,7491,19534,122013
Iraq,2936,11599,26938,113929
Yemen,3929,16486,31965,110028
Argentina,1075,5053,15882,100979
Netherlands,1559,6485,22231,96123
Burkina Faso,1849,8355,21116,94748
Belgium,1047,4083,12349,79821
New Zealand,1019,4669,14415,77626
Bangladesh,1194,6063,23990,75497
Azerbaijan,1067,4085,21048,74768
Belarus,1180,4963,17407,72516
Hong Kong SAR of China,816,3552,11741,72313
Thailand,1398,4988,13074,71425
