#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 14, 2019 - Dec 12, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,737844,2855162,10071349,57208015
United States,205478,753663,2261543,10223601
Brazil,73032,209242,672241,6401500
Mexico,6928,24987,433301,3871829
India,53287,158786,616771,2736107
Turkey,32476,171354,698377,2706184
Colombia,6159,18850,235162,2311349
Indonesia,27808,101020,456583,2293698
Nigeria,37184,169726,535587,2286643
Egypt,17627,77302,190391,1435404
Poland,9542,74982,246726,1383068
Romania,16924,53570,129772,1159911
Hungary,7193,35438,83461,892960
Peru,1951,6656,74247,890929
Ecuador,2128,6719,132579,850257
Philippines,22342,84551,255877,761607
France,7855,32365,94481,729393
Venezuela,3275,9916,123098,728654
Chile,1068,3443,71882,696485
United Kingdom,10744,46401,134934,691305
Canada,14743,53238,150983,668905
Russian Federation,12589,46235,138104,619183
Democratic Republic of The Congo,7766,26686,67312,453919
Morocco,2335,13296,35134,435317
Slovakia (Slovak Republic),2610,12977,46967,393920
Guatemala,1022,4240,66714,391145
South Africa,5214,23793,74840,374860
Algeria,4938,19364,58303,368888
Cameroon,5096,22585,76208,362660
Australia,4866,21905,69776,339042
Angola,3770,15003,55098,335111
Kenya,5121,22829,66447,333032
Germany,5999,25697,73730,332945
Honduras,403,1924,60603,322774
Uganda,3537,15687,56767,317600
Costa Rica,740,2444,48364,302491
Pakistan,3006,15509,45611,296730
Ethiopia,4353,18697,59893,280543
Lebanon,4155,20818,44644,272082
Cote D Ivoire,3549,16324,50117,266455
Ghana,3132,16248,55147,260060
Singapore,4054,17090,51353,252085
Zambia,2387,12621,44528,219664
Portugal,1559,4591,10420,210668
Jordan,2024,9160,23213,209499
Mozambique,2009,10637,35842,204572
Ukraine,3641,14539,41354,204217
Japan,1530,9154,29411,192641
Benin,2045,8921,29845,168438
Nicaragua,240,1215,27486,167104
Bulgaria,3099,13045,37245,165962
Italy,4861,18059,42127,163909
Malaysia,1775,7905,22947,161625
Panama,535,2055,26753,154820
Tunisia,1732,6901,18025,152355
Viet Nam,1788,8612,26992,146034
Spain,2250,7744,19710,139940
Moldova,2066,8146,19052,124295
Iraq,1764,8041,22278,108861
Argentina,1481,5662,16813,105497
Yemen,3105,13145,24766,103968
Netherlands,1563,6851,23069,97065
Burkina Faso,2046,6898,20344,94659
Belgium,952,4172,11980,81796
New Zealand,1377,5236,15316,78807
Belarus,1309,5091,16918,76152
Azerbaijan,993,4260,21349,74925
Thailand,1328,4395,13227,74513
Bangladesh,1519,7866,24945,73558
Puerto Rico,332,1222,6275,73059
Hong Kong SAR of China,982,3723,12386,72684
Madagascar,1292,5431,14685,70049
Switzerland,1088,4073,12793,68117
China,409,1765,5480,59758
Guinea,1352,6308,24723,59244
Ireland,839,3598,10685,57924
Burundi,795,3341,11207,57291
Senegal,712,4049,11340,57194
Gabon,349,1654,6338,55755
Albania,1824,4587,12257,54470
South Korea,943,4041,11535,52841
United Arab Emirates,878,3574,10594,52205
Austria,597,2887,8861,50465
Sweden,786,3151,9465,49382
Rwanda,1771,7648,21441,47931
Czech Republic,443,2132,6886,46832
Mali,817,4101,11193,45681
Malawi,391,1568,6013,45456
Cape Verde,371,1556,5290,40976
Taiwan region,640,2150,6950,39246
Kazakhstan,782,3161,10302,39006
Uzbekistan,1258,4763,13096,38541
Haiti,863,4362,12205,38342
Liberia,925,4024,11121,37665
Togo,1405,6561,15393,37225
Zimbabwe,506,2088,6329,36059
Jamaica,770,3439,10064,35974
Saudi Arabia,559,2315,7173,34548
Serbia,653,2207,6223,34321
Greece,615,2583,7378,33061
Myanmar,609,1518,4754,32856
Afghanistan,405,1673,4798,30627
Congo,251,1114,3619,30382
Croatia,332,1403,4980,30226
Papua New Guinea,205,774,2472,29481
Tanzania,484,2306,6571,29390
Finland,428,2117,7751,28778
Nepal,553,1997,6166,27557
Dominican Republic,383,1630,5402,27147
Uruguay,109,362,2064,25389
Trinidad and Tobago,428,2105,6139,24730
Sudan,797,4130,9129,23469
Kyrgyzstan,580,2098,7087,22481
Mongolia,701,2585,7064,22232
Paraguay,150,750,2507,21351
Georgia,296,1341,4198,21047
Chad,146,793,2263,20760
Niger,394,1645,4849,20535
