#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 9, 2019 - Dec 7, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,773109,2886391,10253998,57571780
United States,215002,762649,2265998,10323337
Brazil,67195,205586,669043,6463927
Mexico,6011,26633,472360,3918940
Turkey,40230,195062,690569,2741191
India,47354,138774,657358,2730395
Colombia,4452,19665,251950,2330712
Indonesia,32225,97118,473444,2306573
Nigeria,48514,176117,551731,2277678
Egypt,17309,69521,185479,1432597
Poland,12509,86690,249331,1391347
Romania,15823,51411,126041,1166541
Hungary,7831,33926,81563,902237
Peru,1840,6989,81680,901847
Ecuador,1547,7651,144999,856232
Philippines,20556,81497,253823,759053
Venezuela,2449,11247,131290,736392
France,7744,32947,94275,735257
Chile,758,3679,79007,706663
United Kingdom,11138,47499,134796,696461
Canada,14667,51778,149385,674865
Russian Federation,14004,49157,133841,616270
Democratic Republic of The Congo,6981,24324,68364,450127
Morocco,3749,13004,35183,436190
Slovakia (Slovak Republic),3087,15273,47488,397853
Guatemala,1125,5144,72617,394869
South Africa,5564,25061,75659,375978
Algeria,5598,17007,59249,367416
Cameroon,5722,23970,77787,361216
Australia,5506,23176,71434,342423
Angola,3145,15441,57046,337837
Germany,6174,27332,72703,335242
Kenya,5849,23631,66541,332652
Honduras,444,2453,66909,325869
Uganda,5025,16321,60494,317308
Costa Rica,589,2629,53451,303609
Pakistan,4683,16309,45828,296895
Ethiopia,4930,18975,61826,279832
Lebanon,5137,19844,43992,271805
Cote D Ivoire,3839,17165,50526,265564
Ghana,3447,17156,57639,259826
Singapore,4216,17557,51614,252277
Zambia,2861,13483,47873,219192
Portugal,1145,3998,10047,212946
Jordan,2934,8714,22819,209770
Mozambique,2116,11452,37564,207642
Ukraine,4393,15381,40584,205155
Japan,1954,9824,30165,195590
Nicaragua,281,1511,30356,169162
Benin,2246,9132,30332,167736
Bulgaria,3326,13545,37337,166409
Italy,5170,18412,40610,164460
Malaysia,1844,8027,23023,161963
Panama,498,2097,29512,155938
Tunisia,1719,6260,17571,152244
Viet Nam,1913,8937,27301,146556
Spain,2271,7896,19118,141778
Moldova,2787,8184,18808,124818
Iraq,2306,7559,22162,108339
Argentina,1486,5983,16759,106349
Yemen,3719,11671,22825,102658
Netherlands,1835,7163,23231,97723
Burkina Faso,2184,6289,20024,93715
Belgium,973,4311,11888,82339
New Zealand,1379,5314,15454,79433
Belarus,1554,5497,16699,76487
Thailand,1256,4262,13258,75398
Azerbaijan,897,4449,21067,75208
Puerto Rico,319,1309,6564,73794
Hong Kong SAR of China,883,3736,12432,72931
Bangladesh,1810,8506,25160,72847
Madagascar,1389,5246,14709,69802
Switzerland,1008,4217,12793,68797
China,418,1809,5519,60775
Guinea,1315,6864,25692,58602
Ireland,802,3649,10720,58474
Senegal,1012,4099,11559,57167
Burundi,769,3370,11458,57103
Gabon,395,1690,6491,55988
Albania,939,4200,11231,54113
South Korea,995,3981,11574,53181
United Arab Emirates,894,3541,10629,52250
Austria,664,3071,8804,50987
Sweden,844,3199,9556,49718
Czech Republic,440,2586,6799,47822
Rwanda,2033,7628,21257,47022
Malawi,392,1591,6730,45385
Mali,1107,4104,11407,45364
Cape Verde,321,1620,5483,41499
Taiwan region,613,2063,7213,39245
Kazakhstan,777,3194,10234,39242
Haiti,1133,4301,12248,38204
Uzbekistan,1322,4868,12810,38195
Liberia,994,3969,11275,37245
Togo,1747,6452,15354,36594
Zimbabwe,540,2094,6371,36028
Jamaica,832,3500,10071,35887
Saudi Arabia,515,2320,7136,34644
Serbia,602,2120,6083,34383
Greece,623,2671,7299,33076
Myanmar,352,1275,4446,32565
Afghanistan,442,1735,4769,30781
Congo,317,1149,3726,30570
Croatia,333,1503,4979,30316
Tanzania,576,2325,6660,29550
Papua New Guinea,212,772,2495,29541
Finland,472,2262,7953,28895
Nepal,567,2096,6223,27533
Dominican Republic,438,1647,5479,27517
Uruguay,82,504,2057,25684
Trinidad and Tobago,514,2190,6194,24789
Sudan,1186,4099,8925,23084
Kyrgyzstan,572,2250,7074,22595
Mongolia,749,2564,6972,22207
Paraguay,169,827,2575,21550
Georgia,300,1397,4187,21035
Chad,214,860,2265,20870
El Salvador,203,882,6018,20801
Niger,374,1672,4897,20367
Norway,269,1304,3793,19827
Iran (Islamic Republic of),53,363,1446,19335
Israel,291,1109,3453,18057
Armenia,299,1165,3345,17726
Sri Lanka,357,1395,4163,17541
Botswana,188,824,2482,16855
Kuwait,283,994,3043,16472
Lithuania,392,1468,3191,16264
Mauritius,236,1077,3153,15948
Bolivia,188,957,2828,15853
Lao Peoples Democratic Republic,88,342,1028,15659
Namibia,240,1009,3258,14816
Qatar,213,932,2829,13719
Slovenia,301,1291,3186,13681
Luxembourg,147,559,1441,13025
Cambodia,138,650,1733,12349
Denmark,216,943,2697,12027
Macedonia,220,794,2018,12020
Equatorial Guinea,34,136,2188,11782
Bahamas,236,1137,3260,11774
Syrian Arab Republic,202,755,2284,11759
Libyan Arab Jamahiriya,93,373,1912,10647
Swaziland,114,499,1642,9805
Oman,169,629,1888,9547
Cuba,36,127,448,8627
Guinea-Bissau,89,474,1730,8472
Tajikistan,221,974,2445,8273
Bosnia and Herzegovina,126,527,1539,8118
Cyprus,97,486,1504,8062
Sierra Leone,165,637,1888,7915
Fiji,170,660,2053,7803
Central African Republic,181,549,1422,7665
Reunion,124,490,1439,7596
Saint Lucia,55,256,668,7165
Barbados,152,626,1803,7094
Bahrain,116,472,1417,6921
Somalia,100,426,1115,6285
Latvia,132,537,1438,6122
Guyana,137,610,1632,6101
Estonia,144,499,1376,5851
Palestinian Territories,94,358,972,5559
Martinique,76,342,885,5309
Lesotho,63,295,883,5242
Belize,118,424,1253,4664
South Sudan,97,488,1314,4541
Montenegro,121,353,1315,4450
Malta,79,317,885,4372
Curacao,36,221,634,4135
Sao Tome and Principe,68,271,742,3390
Guam,55,259,742,3327
Grenada,30,138,404,3327
Antigua and Barbuda,31,98,242,3308
Guadeloupe,52,204,625,3306
Brunei Darussalam,62,189,601,3230
Macau SAR of China,34,176,543,2917
Maldives,31,161,603,2706
Turkmenistan,24,92,865,2679
Bhutan,37,157,476,2445
Suriname,58,227,677,2273
Cayman Islands,46,167,457,2124
French Guiana,21,105,348,2102
Saint Vincent and The Grenadines,30,156,417,2020
Iceland,42,154,408,1963
Europe (Unknown Country),25,112,191,1758
Gambia,65,225,571,1716
French Polynesia,21,78,274,1647
Mauritania,50,209,554,1623
Djibouti,18,58,169,1619
Vanuatu,21,89,286,1579
Timor-Leste,25,188,469,1552
Bermuda,26,124,346,1493
New Caledonia,13,77,283,1468
Jersey,35,139,385,1381
Seychelles,19,100,269,1328
Aruba,24,89,236,1312
US Virgin Islands,23,98,296,1305
Dominica,28,110,313,1273
Solomon Islands,26,110,361,1248
Anguilla,17,58,179,1192
Turks and Caicos Islands,19,84,266,1054
Monaco,29,84,270,988
Samoa,10,107,273,967
Saint Kitts and Nevis,14,62,165,900
Tonga,10,60,188,835
Sint Maarten,7,62,170,704
British Virgin Islands,13,59,191,690
Comoros,2,18,42,651
Isle of Man,14,56,137,646
Northern Mariana Islands,7,39,102,595
Guernsey,14,47,136,510
Gibraltar,5,27,72,436
Faroe Islands,10,37,95,425
Federated States of Micronesia,9,41,102,366
Greenland,4,40,105,346
Palau,8,32,76,345
Bonaire/Sint Eustatius/Saba,5,26,70,323
Saint Martin,6,22,44,220
Andorra,0,7,26,204
Cook Islands,3,19,60,183
Marshall Islands,3,14,37,152
Kiribati,1,13,46,152
Liechtenstein,2,7,32,138
Mayotte,2,6,26,84
Nauru,0,8,26,81
Eritrea,2,5,11,53
Holy See (Vatican City State),1,3,8,48
San Marino,1,1,4,46
Aland Islands,2,2,5,38
St. Pierre and Miquelon,2,3,8,29
Falkland Islands (Malvinas),1,3,5,29
Wallis and Futuna Islands,2,3,7,27
American Samoa,0,3,9,21
Tuvalu,0,0,5,19
British Indian Ocean Territory,1,1,5,15
Montserrat,0,1,3,13
Niue,0,0,1,10
Norfolk Island,0,1,1,8
Tokelau,0,0,0,7
North Korea,0,0,1,4
Cocos (Keeling) Islands,1,1,1,2
St. Helena,0,0,0,2
Saint Barthelemy,0,0,1,1


