#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 13, 2019 - Dec 11, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,891,3075,11960,108626
Brazil,614,1960,6825,53154
Colombia,6,22,412,7934
Mexico,5,23,400,7401
United States,38,166,521,4797
Venezuela,8,22,479,3744
Peru,0,4,123,3300
Ecuador,3,6,186,3078
Angola,26,111,434,2633
Nigeria,4,24,117,1711
Mozambique,17,56,216,1366
Chile,3,9,74,1272
Guatemala,2,5,106,1183
Russian Federation,14,57,207,895
Egypt,15,43,101,891
United Kingdom,8,17,73,722
Honduras,0,1,64,716
Costa Rica,0,3,55,678
Morocco,7,22,44,617
Panama,0,4,32,613
Portugal,8,26,54,605
Cote D Ivoire,4,26,83,543
South Africa,1,6,20,524
Democratic Republic of The Congo,12,44,95,494
Cameroon,4,17,73,476
Nicaragua,2,3,41,444
France,1,18,42,428
Algeria,5,18,46,421
Canada,5,10,49,398
Benin,6,23,60,355
Ghana,0,5,17,330
Uganda,1,7,23,328
Puerto Rico,0,2,16,301
Yemen,16,41,82,277
Lebanon,5,20,47,250
Papua New Guinea,0,0,4,242
Kenya,0,2,17,241
Spain,0,0,10,231
Germany,0,11,30,227
Argentina,2,4,12,209
Jordan,0,7,25,204
Gabon,2,5,26,190
Ethiopia,0,5,14,184
Zambia,0,1,5,181
Australia,4,12,22,172
Haiti,1,14,49,153
Madagascar,3,17,32,150
Cape Verde,3,8,18,150
Botswana,0,1,4,141
Ukraine,4,13,37,140
India,0,0,11,132
Congo,0,7,18,131
Burkina Faso,0,5,18,122
Philippines,1,2,22,121
Togo,2,18,37,114
Pakistan,3,3,7,108
Equatorial Guinea,0,0,12,108
Zimbabwe,0,1,2,97
Switzerland,2,7,13,92
Senegal,1,5,18,87
Tunisia,2,8,13,86
Belgium,1,6,13,81
Burundi,0,6,14,74
Uruguay,0,0,1,73
Belarus,0,9,23,71
Iraq,4,6,11,70
Italy,0,4,9,65
Japan,2,8,18,63
New Zealand,0,3,6,63
Netherlands,2,5,10,55
Malawi,0,0,3,52
Guinea,0,7,21,51
Chad,0,4,12,50
Swaziland,0,0,2,47
Paraguay,1,2,6,43
Ireland,0,1,2,42
Central African Republic,1,3,8,39
Singapore,0,1,7,39
