#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 14, 2019 - Dec 12, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,904,3065,11918,108512
Brazil,626,1946,6816,53132
Colombia,8,22,409,7917
Mexico,7,23,393,7380
United States,44,169,527,4791
Venezuela,7,22,473,3737
Peru,0,3,119,3295
Ecuador,2,6,184,3070
Angola,26,110,426,2628
Nigeria,5,25,117,1713
Mozambique,17,55,214,1365
Chile,3,9,69,1270
Guatemala,2,5,105,1180
Russian Federation,15,56,207,894
Egypt,13,41,101,888
United Kingdom,8,19,73,723
Honduras,0,1,62,714
Costa Rica,0,3,53,676
Morocco,5,23,44,618
Panama,0,4,32,612
Portugal,7,23,53,604
Cote D Ivoire,4,25,83,543
South Africa,2,7,21,523
Democratic Republic of The Congo,7,42,94,494
Cameroon,4,16,73,474
Nicaragua,2,3,40,442
France,2,19,43,429
Algeria,8,21,47,424
Canada,6,11,50,399
Benin,6,25,62,357
Ghana,0,5,16,329
Uganda,1,6,21,328
Puerto Rico,0,2,16,300
Yemen,15,42,83,278
Lebanon,3,20,48,250
Papua New Guinea,0,0,4,242
Kenya,0,2,17,241
Spain,0,0,10,230
Germany,0,11,30,227
Argentina,0,4,12,208
Jordan,0,7,25,203
Gabon,2,5,26,189
Ethiopia,0,4,14,184
Zambia,0,1,5,181
Australia,3,12,22,172
Haiti,2,15,50,154
Madagascar,3,17,32,150
Cape Verde,3,8,18,150
Botswana,0,1,4,141
Ukraine,4,13,37,139
India,0,0,11,132
Congo,0,7,18,131
Philippines,1,2,22,121
Burkina Faso,0,5,18,121
Togo,1,18,37,114
Pakistan,2,3,7,108
Equatorial Guinea,0,0,12,107
Zimbabwe,0,1,2,97
Switzerland,2,7,13,91
Senegal,1,4,18,87
Tunisia,2,8,13,85
Belgium,1,6,12,80
Burundi,1,7,15,75
Uruguay,0,0,1,73
Belarus,0,9,23,71
Iraq,4,6,11,68
Italy,0,4,9,65
Japan,2,9,18,64
New Zealand,0,3,6,62
Netherlands,2,5,10,54
Malawi,0,0,3,52
Guinea,0,7,21,51
Chad,0,4,12,50
Swaziland,0,0,2,47
Paraguay,1,2,6,43
Ireland,0,1,2,42
Central African Republic,2,4,9,40
Singapore,0,1,6,39
