#=================================================================
# Exposures by Country
# Report Suite: Cru Global Report Suite
"# Date: Dec 15, 2019 - Dec 13, 2020"
#=================================================================


##############################################
"# Web engagement (including mobile web), by property"
##############################################
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,727310,2859323,10043008,57163064
United States,203656,759543,2261201,10217276
Brazil,76234,212189,675259,6391991
Mexico,7198,25243,426570,3864636
India,50540,162492,608941,2736565
Turkey,30969,162667,700588,2702843
Colombia,6492,19238,232420,2307570
Indonesia,24899,100442,449603,2290948
Nigeria,34875,168530,534896,2289534
Egypt,17714,79251,192036,1436133
Poland,9324,71183,246348,1381675
Romania,15313,54350,130206,1158441
Hungary,7473,36189,84006,890610
Peru,2008,6708,72915,888856
Ecuador,2284,6903,130478,849446
Philippines,22151,85864,256300,762366
France,7963,32522,94720,728568
Venezuela,3510,10162,121502,727322
Chile,1177,3551,70711,694455
United Kingdom,10816,46632,135103,690995
Canada,14733,53829,151293,668392
Russian Federation,12326,46553,139150,620122
Democratic Republic of The Congo,7555,26785,67156,454256
Morocco,2433,13499,35284,435149
Slovakia (Slovak Republic),2663,12802,46836,393334
Guatemala,950,4156,65597,390511
South Africa,5188,23707,74577,374785
Algeria,5276,20171,58760,369463
Cameroon,4970,22274,76029,362791
Australia,4739,21864,69375,338677
Angola,3984,14813,54869,334838
Kenya,5022,22551,66386,333108
Germany,5928,25399,74052,332732
Honduras,402,1906,59379,322199
Uganda,3225,15377,55553,317548
Costa Rica,781,2448,47324,302260
Pakistan,2847,15315,45648,296652
Ethiopia,4114,18528,59419,280700
Lebanon,4069,21273,45009,272413
Cote D Ivoire,3422,16004,49891,266528
Ghana,3152,16015,54809,260206
Singapore,4002,16939,51254,252048
Zambia,2299,12331,43937,219747
Portugal,1605,4649,10503,210114
Jordan,1965,9343,23458,209472
Mozambique,2075,10367,35606,204140
Ukraine,3421,14492,41439,203809
Japan,1555,9008,29260,192087
Benin,2015,8802,29738,168503
Nicaragua,237,1195,26956,166742
Bulgaria,3114,13070,37287,165976
Italy,4346,17996,42356,163850
Malaysia,1735,7846,22917,161591
Panama,556,2057,26287,154632
Tunisia,1953,7207,18354,152625
Viet Nam,1755,8546,26931,145882
Spain,2088,7763,19804,139623
Moldova,1907,8297,19141,124289
Iraq,1873,8349,22492,109162
Argentina,1486,5620,16812,105307
Yemen,3226,13587,25345,104373
Netherlands,1510,6807,22991,96921
Burkina Faso,2025,6918,20353,94766
Belgium,948,4168,12021,81727
New Zealand,1372,5237,15264,78644
Belarus,1170,5049,16929,76017
Azerbaijan,1023,4233,21440,74954
Thailand,1314,4424,13195,74389
Bangladesh,1523,7856,24916,73687
Puerto Rico,329,1221,6209,72919
Hong Kong SAR of China,988,3748,12360,72666
Madagascar,1302,5430,14668,70081
Switzerland,1113,4102,12827,68039
China,421,1752,5467,59543
Guinea,1302,6051,24575,59292
Ireland,828,3581,10639,57802
Burundi,792,3343,11183,57325
Senegal,700,4000,11270,57158
Gabon,334,1645,6306,55683
Albania,1852,4577,12300,54473
