#=================================================================
# EveryStudent Email Signups
# Report Suite: Every Student - Production
"# Date: Dec 19, 2019 - Dec 17, 2020"
#=================================================================


##############################################
# Signups by country
##############################################
,Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.),Email Signups (E.S.)
,Last FULL 7 days (-2),Last FULL 30 days (-2),Last FULL 90 days (-2),Last FULL 365 days (-2)
,Unique Visitors,Unique Visitors,Unique Visitors,Unique Visitors
Countries,935,3297,11840,107977
Brazil,656,2149,6915,53054
Colombia,9,25,380,7838
Mexico,12,32,362,7309
United States,34,147,511,4726
Venezuela,14,31,438,3703
Peru,4,6,112,3256
Ecuador,3,9,173,3037
Angola,27,114,403,2631
Nigeria,9,31,115,1703
Mozambique,9,53,204,1358
Chile,1,9,64,1252
Guatemala,1,4,94,1167
Russian Federation,18,56,216,898
Egypt,15,49,111,898
United Kingdom,8,19,74,719
Honduras,0,1,54,709
Costa Rica,2,3,48,672
Morocco,3,23,43,615
Panama,0,1,30,605
Portugal,5,26,55,600
Cote D Ivoire,3,23,82,539
South Africa,6,10,24,516
Democratic Republic of The Congo,4,41,93,487
Cameroon,1,13,67,470
Nicaragua,1,3,34,436
Algeria,12,29,55,431
France,2,17,44,425
Canada,3,12,51,395
Benin,4,23,58,358
Uganda,2,7,21,328
Ghana,1,4,16,324
Puerto Rico,0,1,15,298
Yemen,12,49,92,285
Lebanon,5,20,48,250
Papua New Guinea,1,1,4,241
Kenya,1,3,16,238
Germany,2,10,28,225
Spain,0,0,9,220
Argentina,0,4,12,205
Jordan,1,8,26,203
Gabon,0,3,24,185
Ethiopia,0,2,13,184
Zambia,1,2,5,179
Australia,2,13,23,171
Haiti,2,15,47,155
Madagascar,1,17,31,150
Cape Verde,2,7,19,149
Botswana,0,1,4,141
Ukraine,5,13,39,139
Congo,2,9,19,131
India,1,1,11,128
Philippines,4,6,24,122
Burkina Faso,0,4,17,117
Togo,1,16,36,115
Pakistan,0,3,7,107
Equatorial Guinea,1,1,11,105
Zimbabwe,0,1,2,97
Switzerland,0,5,13,91
Senegal,1,4,17,85
Tunisia,0,7,13,85
Belgium,0,4,12,77
Burundi,1,6,13,73
Uruguay,0,0,1,72
Belarus,0,7,23,71
Iraq,2,8,13,70
Japan,2,9,18,65
Italy,0,2,8,65
New Zealand,1,3,6,61
Netherlands,0,5,10,53
Malawi,0,0,2,52
Guinea,0,6,21,51
Chad,0,3,12,50
Swaziland,0,0,2,47
Paraguay,1,3,7,43
Ireland,1,2,3,42
Central African Republic,1,4,9,39
Liberia,0,0,1,39
