"Saturday, 5 December 2020",Australia,0,0,1
"Saturday, 5 December 2020",Canada,0,0,1
"Saturday, 5 December 2020",Egypt,0,1,1
"Saturday, 5 December 2020",Ethiopia,0,1,1
"Saturday, 5 December 2020",France,1,1,1
"Saturday, 5 December 2020",Global,4,9,13
"Saturday, 5 December 2020",India,0,1,1
"Saturday, 5 December 2020",JFP,1,2,9
"Saturday, 5 December 2020",Latvia,0,0,1
"Saturday, 5 December 2020",Macedonia,0,0,1
"Saturday, 5 December 2020",Moldova,0,1,1
"Saturday, 5 December 2020",New Zealand,0,1,1
"Saturday, 5 December 2020",Panama,0,1,2
"Saturday, 5 December 2020",Romania,0,0,1
"Saturday, 5 December 2020",Russia,0,1,2
"Saturday, 5 December 2020",Singapore,0,0,2
"Saturday, 5 December 2020",Uganda,1,1,1
"Saturday, 5 December 2020",United States,9,12,33
"Saturday, 5 December 2020",Unknown,0,1,3
