"Dec 31, 2020",Albania,0,1,1
"Dec 31, 2020",Australia,0,0,1
"Dec 31, 2020",Canada,0,0,1
"Dec 31, 2020",Egypt,0,1,1
"Dec 31, 2020",Ethiopia,0,1,1
"Dec 31, 2020",France,0,1,2
"Dec 31, 2020",Global,2,8,12
"Dec 31, 2020",India,0,1,1
"Dec 31, 2020",JFP,1,4,8
"Dec 31, 2020",Latvia,0,0,1
"Dec 31, 2020",Macedonia,0,0,1
"Dec 31, 2020",Moldova,0,0,1
"Dec 31, 2020",New Zealand,0,0,1
"Dec 31, 2020",Panama,0,0,1
"Dec 31, 2020",Romania,0,1,1
"Dec 31, 2020",Russia,0,1,2
"Dec 31, 2020",Singapore,1,1,2
"Dec 31, 2020",Uganda,0,1,1
"Dec 31, 2020",United States,1,15,34
12/31/2020,Unknown,0,0,1
