record_id,activitywindow_date_id,source_id,country,value,isOriginal
,568,95,GGG,386,1
,568,95,VEN,56,1
,568,95,MEX,55,1
,568,95,IDN,28,1
,568,95,USA,36,1
,568,95,COL,46,1
,568,95,ARG,42,1
,568,95,PHL,41,1
,568,95,GTM,11,1
,568,95,IND,3,1
,568,95,SGP,1,1
,568,95,RUS,1,1
,568,95,UGA,0,1
,568,95,NGA,3,1
,568,95,GHA,3,1
,568,95,MYS,4,1
,568,95,ZAF,7,1
,568,95,GBR,4,1
,568,95,BRA,1,1
,568,95,KEN,2,1
,568,95,AUS,0,1
,568,95,CAN,4,1
,568,95,ECU,3,1
,568,95,CMR,0,1
,568,95,KOR,1,1
,568,95,NZL,0,1
,568,95,DEU,1,1
,568,95,CHN,2,1
,568,95,COD,3,1
,568,95,ARE,1,1
,568,95,CRI,0,1
,568,95,PER,2,1
,568,95,LBR,0,1
,568,95,EGY,0,1
,568,95,PAN,0,1
,568,95,LBN,0,1
,568,95,THA,0,1
,568,95,CIV,0,1
,568,95,HKG,0,1
,568,95,TUR,1,1
,568,95,UKR,2,1
,568,95,SAU,2,1
,568,95,FRA,1,1
,568,95,GUY,1,1
,568,95,PRI,0,1
,568,95,ROU,1,1
,568,95,AGO,0,1
,568,95,MDA,0,1
,568,95,GMB,0,1
,568,95,ZMB,0,1
,568,95,CHL,1,1
,568,95,BEN,0,1
,568,95,SLV,1,1
,568,95,DZA,0,1
,568,95,KGZ,0,1
,568,95,NIC,0,1
,568,95,KAZ,1,1
,568,95,VNM,1,1
,568,95,POL,2,1
,568,95,FJI,0,1
,568,95,TWN,0,1
,568,95,JAM,0,1
,568,95,NLD,0,1
,568,95,TGO,1,1
,568,95,CAF,0,1
,568,95,SYR,0,1
,568,95,COG,0,1
,568,95,HND,0,1
,568,95,MDG,0,1
,568,95,ZWE,0,1
,568,95,TUN,0,1
,568,95,HUN,0,1
,568,95,MMR,0,1
,568,95,SWZ,1,1
,568,95,BFA,0,1
,568,95,ESP,0,1
,568,95,ETH,1,1
,568,95,MUS,0,1
,568,95,BOL,0,1
