record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,578,76,GGG,866,1,1
,578,76,BRA,589,1,1
,578,76,COL,3,1,1
,578,76,MEX,21,1,1
,578,76,USA,48,1,1
,578,76,VEN,8,1,1
,578,76,PER,6,1,1
,578,76,ECU,3,1,1
,578,76,AGO,24,1,1
,578,76,NGA,7,1,1
,578,76,MOZ,15,1,1
,578,76,CHL,1,1,1
,578,76,GTM,0,1,1
,578,76,EGY,15,1,1
,578,76,RUS,9,1,1
,578,76,GBR,4,1,1
,578,76,HND,0,1,1
,578,76,CRI,1,1,1
,578,76,MAR,4,1,1
,578,76,PAN,2,1,1
,578,76,PRT,2,1,1
,578,76,CIV,4,1,1
,578,76,ZAF,4,1,1
,578,76,COD,8,1,1
,578,76,CMR,1,1,1
,578,76,DZA,6,1,1
,578,76,NIC,0,1,1
,578,76,FRA,3,1,1
,578,76,CAN,5,1,1
,578,76,BEN,2,1,1
,578,76,UGA,4,1,1
,578,76,GHA,0,1,1
,578,76,YEM,11,1,1
,578,76,PRI,0,1,1
,578,76,LBN,6,1,1
,578,76,KEN,3,1,1
,578,76,PNG,2,1,1
,578,76,DEU,1,1,1
,578,76,ESP,0,1,1
,578,76,ARG,2,1,1
,578,76,JOR,2,1,1
,578,76,ETH,2,1,1
,578,76,GAB,0,1,1
,578,76,ZMB,1,1,1
,578,76,AUS,0,1,1
,578,76,HTI,3,1,1
,578,76,MDG,1,1,1
,578,76,CPV,1,1,1
,578,76,UKR,4,1,1
,578,76,BWA,0,1,1
,578,76,COG,0,1,1
,578,76,IND,0,1,1
,578,76,PHL,1,1,1
,578,76,TGO,2,1,1
,578,76,BFA,1,1,1
,578,76,PAK,0,1,1
,578,76,GNQ,1,1,1
,578,76,ZWE,0,1,1
,578,76,CHE,0,1,1
,578,76,TUN,3,1,1
,578,76,SEN,1,1,1
,578,76,BEL,2,1,1
,578,76,BDI,0,1,1
,578,76,URY,0,1,1
,578,76,IRQ,0,1,1
,578,76,BLR,1,1,1
,578,76,JPN,0,1,1
,578,76,ITA,0,1,1
,578,76,NZL,1,1,1
,578,76,NLD,1,1,1
,578,76,MWI,0,1,1
,578,76,GIN,0,1,1
,578,76,TCD,0,1,1
,578,76,SWZ,0,1,1
,578,76,IRL,2,1,1
,578,76,PRY,0,1,1
,578,76,CAF,1,1,1
,578,76,LBR,0,1,1
,578,76,MLI,1,1,1
,578,76,SGP,1,1,1
,578,76,LUX,0,1,1
,578,76,CUB,1,1,1
,578,76,DOM,0,1,1
,578,76,NAM,0,1,1
,578,76,RWA,0,1,1
,578,76,AUT,0,1,1
,578,76,SLV,0,1,1
,578,76,SWE,1,1,1
,578,76,TUR,1,1,1
,578,76,TTO,0,1,1
,578,76,BOL,0,1,1
,578,76,MYS,0,1,1
,578,76,CUW,0,1,1
,578,76,IDN,0,1,1
,578,76,STP,0,1,1
,578,76,ATG,0,1,1
,578,76,MDA,1,1,1
,578,76,GNB,0,1,1
,578,76,HKG,0,1,1
,578,76,NOR,0,1,1
,578,76,LCA,0,1,1
,578,76,ROU,1,1,1
,578,76,SDN,0,1,1
,578,76,MUS,0,1,1
,578,76,KOR,0,1,1
,578,76,CHN,0,1,1
,578,76,KWT,0,1,1
,578,76,FIN,0,1,1
,578,76,CZE,0,1,1
,578,76,FJI,0,1,1
,578,76,GUF,0,1,1
,578,76,ISR,0,1,1
,578,76,TZA,0,1,1
,578,76,VUT,1,1,1
,578,76,GUY,0,1,1
,578,76,ARE,0,1,1
,578,76,SAU,0,1,1
,578,76,BHS,0,1,1
,578,76,ABW,0,1,1
,578,76,HUN,0,1,1
,578,76,QAT,0,1,1
,578,76,BGR,0,1,1
,578,76,POL,0,1,1
,578,76,KAZ,0,1,1
,578,76,MTQ,0,1,1
,578,76,SRB,0,1,1
,578,76,GEO,0,1,1
,578,76,JAM,0,1,1
,578,76,DNK,0,1,1
,578,76,GUM,0,1,1
,578,76,LSO,0,1,1
,578,76,SLE,0,1,1
,578,76,SYR,1,1,1
,578,76,OMN,0,1,1
,578,76,HRV,0,1,1
,578,76,SVK,0,1,1
,578,76,NER,0,1,1
,578,76,SSD,0,1,1
,578,76,BRB,0,1,1
,578,76,SYC,0,1,1
,578,76,GRD,0,1,1
,578,76,LVA,0,1,1
,578,76,TLS,1,1,1
,578,76,LBY,1,1,1
,578,76,NPL,0,1,1
,578,76,LKA,0,1,1
,578,76,VNM,0,1,1
,578,76,BHR,0,1,1
,578,76,TWN,0,1,1
,578,76,BLZ,0,1,1
,578,76,LAO,0,1,1
,578,76,AIA,0,1,1
,578,76,GRC,0,1,1
,578,76,BGD,0,1,1
,578,76,EST,0,1,1
,578,76,THA,0,1,1
,578,76,MLT,0,1,1
,578,76,PYF,0,1,1
,578,76,CYP,0,1,1
,578,76,GMB,0,1,1
,578,76,WSM,0,1,1
,578,76,CYM,0,1,1
,578,76,MMR,0,1,1
,578,76,DMA,0,1,1
,578,76,MRT,0,1,1
,578,76,DJI,0,1,1
,578,76,COM,0,1,1
,578,76,ISL,0,1,1
,578,76,MNP,0,1,1
,578,76,SOM,0,1,1
,578,76,ALB,0,1,1
,578,76,MDV,0,1,1
,578,76,BTN,0,1,1
,578,76,BRN,0,1,1
,578,76,MKD,0,1,1
,578,76,NU2,0,1,1
,578,76,MAC,0,1,1
,578,76,GLP,0,1,1
,578,76,PSE,0,1,1
,578,76,MNE,0,1,1
,578,76,SVN,0,1,1
,578,76,KGZ,0,1,1
,1475,76,GGG,3558,1,1
,1475,76,BRA,2387,1,1
,1475,76,COL,23,1,1
,1475,76,MEX,47,1,1
,1475,76,USA,169,1,1
,1475,76,VEN,32,1,1
,1475,76,PER,8,1,1
,1475,76,ECU,10,1,1
,1475,76,AGO,115,1,1
,1475,76,NGA,29,1,1
,1475,76,MOZ,54,1,1
,1475,76,CHL,9,1,1
,1475,76,GTM,4,1,1
,1475,76,EGY,52,1,1
,1475,76,RUS,50,1,1
,1475,76,GBR,22,1,1
,1475,76,HND,1,1,1
,1475,76,CRI,3,1,1
,1475,76,MAR,22,1,1
,1475,76,PAN,3,1,1
,1475,76,PRT,22,1,1
,1475,76,CIV,22,1,1
,1475,76,ZAF,10,1,1
,1475,76,COD,42,1,1
,1475,76,CMR,12,1,1
,1475,76,DZA,30,1,1
,1475,76,NIC,3,1,1
,1475,76,FRA,17,1,1
,1475,76,CAN,14,1,1
,1475,76,BEN,23,1,1
,1475,76,UGA,8,1,1
,1475,76,GHA,2,1,1
,1475,76,YEM,56,1,1
,1475,76,PRI,1,1,1
,1475,76,LBN,21,1,1
,1475,76,KEN,5,1,1
,1475,76,PNG,2,1,1
,1475,76,DEU,7,1,1
,1475,76,ESP,0,1,1
,1475,76,ARG,6,1,1
,1475,76,JOR,8,1,1
,1475,76,ETH,2,1,1
,1475,76,GAB,2,1,1
,1475,76,ZMB,2,1,1
,1475,76,AUS,8,1,1
,1475,76,HTI,14,1,1
,1475,76,MDG,15,1,1
,1475,76,CPV,6,1,1
,1475,76,UKR,12,1,1
,1475,76,BWA,1,1,1
,1475,76,COG,6,1,1
,1475,76,IND,1,1,1
,1475,76,PHL,6,1,1
,1475,76,TGO,18,1,1
,1475,76,BFA,5,1,1
,1475,76,PAK,3,1,1
,1475,76,GNQ,1,1,1
,1475,76,ZWE,1,1,1
,1475,76,CHE,5,1,1
,1475,76,TUN,9,1,1
,1475,76,SEN,4,1,1
,1475,76,BEL,5,1,1
,1475,76,BDI,1,1,1
,1475,76,URY,0,1,1
,1475,76,IRQ,8,1,1
,1475,76,BLR,6,1,1
,1475,76,JPN,6,1,1
,1475,76,ITA,1,1,1
,1475,76,NZL,2,1,1
,1475,76,NLD,4,1,1
,1475,76,MWI,0,1,1
,1475,76,GIN,3,1,1
,1475,76,TCD,3,1,1
,1475,76,SWZ,0,1,1
,1475,76,IRL,2,1,1
