record_id,activitywindow_date_id,source_id,country,value,isOriginal
,580,94,GGG,3990,1
,580,94,NGA,1317,1
,580,94,TUR,287,1
,580,94,MEX,38,1
,580,94,RUS,328,1
,580,94,POL,125,1
,580,94,COL,15,1
,580,94,IND,60,1
,580,94,HUN,97,1
,580,94,USA,55,1
,580,94,IDN,30,1
,580,94,CMR,205,1
,580,94,EGY,128,1
,580,94,PER,6,1
,580,94,ETH,108,1
,580,94,SVK,41,1
,580,94,VEN,7,1
,580,94,CIV,118,1
,580,94,COD,80,1
,580,94,ECU,3,1
,580,94,FRA,15,1
,580,94,UGA,17,1
,580,94,CHL,1,1
,580,94,ZMB,30,1
,580,94,GHA,16,1
,580,94,DEU,25,1
,580,94,KEN,27,1
,580,94,UKR,69,1
,580,94,BEN,66,1
,580,94,BGR,0,1
,580,94,GTM,2,1
,580,94,MAR,15,1
,580,94,GBR,11,1
,580,94,BFA,84,1
,580,94,CAN,16,1
,580,94,DZA,33,1
,580,94,CRI,1,1
,580,94,HND,0,1
,580,94,ROU,14,1
,580,94,BLR,24,1
,580,94,GIN,37,1
,580,94,LBN,24,1
,580,94,BDI,38,1
,580,94,PAK,11,1
,580,94,JOR,12,1
,580,94,MDG,21,1
,580,94,RWA,60,1
,580,94,ESP,1,1
,580,94,PAN,0,1
,580,94,JPN,7,1
,580,94,NIC,0,1
,580,94,MWI,2,1
,580,94,LBR,26,1
,580,94,YEM,44,1
,580,94,MOZ,4,1
,580,94,PRI,1,1
,580,94,ITA,4,1
,580,94,NER,18,1
,580,94,AZE,3,1
,580,94,NLD,5,1
,580,94,BEL,0,1
,580,94,CHN,1,1
,580,94,ZAF,3,1
,580,94,TUN,16,1
,580,94,AUT,6,1
,580,94,ARG,2,1
,580,94,IRQ,13,1
,580,94,MLI,17,1
,580,94,GRC,4,1
,580,94,CZE,0,1
,580,94,TGO,19,1
,580,94,GAB,1,1
,580,94,SEN,13,1
,580,94,AUS,2,1
,580,94,SRB,9,1
,580,94,SWE,3,1
,580,94,VNM,2,1
,580,94,THA,10,1
,580,94,PNG,0,1
,580,94,CHE,2,1
,580,94,SVN,3,1
,580,94,COG,1,1
,580,94,HRV,1,1
,580,94,MDA,3,1
,580,94,KOR,3,1
,580,94,BWA,0,1
,580,94,MYS,0,1
,580,94,URY,0,1
,580,94,GNQ,0,1
,580,94,HTI,2,1
,580,94,IRL,1,1
,580,94,TWN,0,1
,580,94,TCD,1,1
,580,94,ZWE,0,1
,580,94,ARM,1,1
,580,94,GEO,0,1
,580,94,NZL,1,1
,580,94,MKD,1,1
,580,94,PHL,0,1
,580,94,SGP,1,1
,580,94,CYP,2,1
,580,94,HKG,0,1
,580,94,BRA,0,1
,580,94,DOM,0,1
,580,94,CAF,0,1
,580,94,MNE,0,1
,580,94,KAZ,2,1
,580,94,GNB,0,1
,580,94,NOR,0,1
,580,94,LAO,0,1
,580,94,SWZ,0,1
,580,94,KWT,0,1
,580,94,ARE,0,1
,580,94,FIN,1,1
,580,94,SLV,0,1
,580,94,MNG,2,1
,580,94,SDN,2,1
,580,94,DNK,1,1
,580,94,SAU,0,1
,580,94,BIH,0,1
,580,94,LVA,1,1
,580,94,LUX,0,1
,580,94,LCA,0,1
,580,94,ISR,0,1
,580,94,OMN,0,1
,580,94,NPL,0,1
,580,94,CUB,0,1
,580,94,CUW,0,1
,580,94,BOL,0,1
,580,94,EST,0,1
,580,94,SYR,0,1
,580,94,PRY,0,1
,580,94,KGZ,0,1
,580,94,TTO,0,1
,580,94,BHR,0,1
,580,94,ATG,0,1
,580,94,PRT,0,1
,580,94,TZA,0,1
,580,94,UZB,0,1
,580,94,TLS,0,1
,580,94,LTU,0,1
,580,94,IRN,0,1
,580,94,BGD,0,1
,580,94,MMR,2,1
,580,94,REU,0,1
,580,94,MLT,0,1
,580,94,QAT,0,1
,580,94,JAM,0,1
,580,94,SSD,0,1
,580,94,PSE,0,1
,580,94,LKA,0,1
,580,94,GRD,0,1
,580,94,MUS,0,1
,580,94,LBY,1,1
,580,94,VUT,0,1
,580,94,ALB,0,1
,580,94,MTQ,0,1
,580,94,TJK,0,1
,580,94,AFG,1,1
,580,94,NAM,0,1
,580,94,NU2,0,1
,580,94,BHS,0,1
,580,94,BRB,0,1
,580,94,GUM,0,1
,580,94,SLE,0,1
,580,94,AGO,0,1
,580,94,LSO,0,1
,580,94,ISL,0,1
,580,94,TKM,0,1
,580,94,KHM,0,1
,580,94,ABW,0,1
