record_id,activitywindow_date_id,source_id,country,value,isOriginal
,568,50,GGG,727310,1
,568,50,USA,203656,1
,568,50,BRA,76234,1
,568,50,MEX,7198,1
,568,50,IND,50540,1
,568,50,TUR,30969,1
,568,50,COL,6492,1
,568,50,IDN,24899,1
,568,50,NGA,34875,1
,568,50,EGY,17714,1
,568,50,POL,9324,1
,568,50,ROU,15313,1
,568,50,HUN,7473,1
,568,50,PER,2008,1
,568,50,ECU,2284,1
,568,50,PHL,22151,1
,568,50,FRA,7963,1
,568,50,VEN,3510,1
,568,50,CHL,1177,1
,568,50,GBR,10816,1
,568,50,CAN,14733,1
,568,50,RUS,12326,1
,568,50,COD,7555,1
,568,50,MAR,2433,1
,568,50,SVK,2663,1
,568,50,GTM,950,1
,568,50,ZAF,5188,1
,568,50,DZA,5276,1
,568,50,CMR,4970,1
,568,50,AUS,4739,1
,568,50,AGO,3984,1
,568,50,KEN,5022,1
,568,50,DEU,5928,1
,568,50,HND,402,1
,568,50,UGA,3225,1
,568,50,CRI,781,1
,568,50,PAK,2847,1
,568,50,ETH,4114,1
,568,50,LBN,4069,1
,568,50,CIV,3422,1
,568,50,GHA,3152,1
,568,50,SGP,4002,1
,568,50,ZMB,2299,1
,568,50,PRT,1605,1
,568,50,JOR,1965,1
,568,50,MOZ,2075,1
,568,50,UKR,3421,1
,568,50,JPN,1555,1
,568,50,BEN,2015,1
,568,50,NIC,237,1
,568,50,BGR,3114,1
,568,50,ITA,4346,1
,568,50,MYS,1735,1
,568,50,PAN,556,1
,568,50,TUN,1953,1
,568,50,VNM,1755,1
,568,50,ESP,2088,1
,568,50,MDA,1907,1
,568,50,IRQ,1873,1
,568,50,ARG,1486,1
,568,50,YEM,3226,1
,568,50,NLD,1510,1
,568,50,BFA,2025,1
,568,50,BEL,948,1
,568,50,NZL,1372,1
,568,50,BLR,1170,1
,568,50,AZE,1023,1
,568,50,THA,1314,1
,568,50,BGD,1523,1
,568,50,PRI,329,1
,568,50,HKG,988,1
,568,50,MDG,1302,1
,568,50,CHE,1113,1
,568,50,CHN,421,1
,568,50,GIN,1302,1
,568,50,IRL,828,1
,568,50,BDI,792,1
,568,50,SEN,700,1
,568,50,GAB,334,1
,568,50,ALB,1852,1
,568,50,KOR,958,1
,568,50,ARE,867,1
,568,50,AUT,579,1
,568,50,SWE,776,1
,568,50,RWA,1754,1
,568,50,CZE,435,1
,568,50,MLI,787,1
,568,50,MWI,375,1
,568,50,CPV,408,1
,568,50,TWN,623,1
,568,50,KAZ,799,1
,568,50,UZB,1242,1
,568,50,HTI,854,1
,568,50,LBR,930,1
,568,50,TGO,1346,1
,568,50,ZWE,504,1
,568,50,JAM,754,1
,568,50,SAU,559,1
,568,50,SRB,633,1
,568,50,GRC,631,1
,568,50,MMR,610,1
,568,50,AFG,389,1
,568,50,COG,247,1
,568,50,HRV,315,1
,568,50,PNG,200,1
,568,50,TZA,530,1
,568,50,FIN,441,1
,568,50,NPL,509,1
,568,50,DOM,393,1
,568,50,URY,111,1
,568,50,TTO,415,1
,568,50,SDN,797,1
,568,50,KGZ,609,1
,568,50,MNG,710,1
,568,50,PRY,157,1
,568,50,GEO,292,1
,568,50,TCD,140,1
,568,50,NER,396,1
,568,50,SLV,176,1
,568,50,NOR,322,1
,568,50,IRN,34,1
,568,50,ISR,272,1
,568,50,LKA,302,1
,568,50,ARM,310,1
,568,50,BWA,184,1
,568,50,KWT,252,1
,568,50,LTU,371,1
,568,50,MUS,257,1
,568,50,BOL,203,1
,568,50,LAO,82,1
,568,50,NAM,230,1
,568,50,QAT,223,1
,568,50,SVN,252,1
,568,50,LUX,231,1
,568,50,KHM,195,1
,568,50,MKD,281,1
,568,50,DNK,208,1
,568,50,SYR,223,1
,568,50,BHS,212,1
,568,50,GNQ,21,1
,568,50,LBY,148,1
,568,50,SWZ,121,1
,568,50,OMN,171,1
,568,50,CUB,39,1
,568,50,GNB,155,1
,568,50,TJK,216,1
,568,50,BIH,125,1
,568,50,CYP,108,1
,568,50,FJI,144,1
,568,50,CAF,150,1
,568,50,SLE,155,1
,568,50,REU,112,1
,568,50,LCA,45,1
,568,50,BRB,118,1
,568,50,BHR,126,1
,568,50,GUY,152,1
,568,50,LVA,132,1
,568,50,SOM,87,1
,568,50,EST,114,1
,568,50,PSE,88,1
,568,50,MTQ,74,1
,568,50,LSO,80,1
,568,50,BLZ,95,1
,568,50,SSD,79,1
,568,50,MNE,117,1
,568,50,MLT,86,1
,568,50,CUW,19,1
,568,50,STP,78,1
,568,50,GUM,74,1
,568,50,GRD,18,1
,568,50,GLP,54,1
,568,50,ATG,19,1
,568,50,BRN,32,1
,568,50,MAC,38,1
,568,50,MDV,42,1
,568,50,TKM,19,1
,568,50,BTN,63,1
,568,50,SUR,99,1
,568,50,CYM,26,1
,568,50,GUF,21,1
,568,50,VCT,28,1
,568,50,ISL,42,1
,568,50,NU2,16,1
,568,50,GMB,43,1
,568,50,MRT,44,1
,568,50,PYF,23,1
,568,50,DJI,15,1
,568,50,VUT,21,1
,568,50,TLS,28,1
,568,50,BMU,23,1
,568,50,NCL,14,1
,568,50,JEY,55,1
,568,50,SYC,14,1
,568,50,ABW,21,1
,568,50,VIR,19,1
,568,50,DMA,32,1
,568,50,SLB,17,1
,568,50,AIA,17,1
,568,50,TCA,22,1
,568,50,MCO,24,1
,568,50,WSM,15,1
,568,50,KNA,15,1
,568,50,TON,15,1
,568,50,SXM,13,1
,568,50,VGB,15,1
,568,50,COM,1,1
,568,50,IMN,9,1
,568,50,MNP,8,1
,568,50,GGY,15,1
,568,50,GIB,3,1
,568,50,FRO,3,1
,568,50,FSM,12,1
,568,50,GRL,26,1
,568,50,PLW,8,1
,568,50,BES,4,1
,568,50,MAF,1,1
,568,50,AND,0,1
,568,50,COK,2,1
,568,50,MHL,4,1
,568,50,KIR,1,1
,568,50,LIE,1,1
,568,50,MYT,3,1
,568,50,NRU,1,1
,568,50,ERI,1,1
,568,50,VAT,0,1
,568,50,SMR,0,1
,568,50,ALA,1,1
,568,50,SPM,0,1
,568,50,FLK,0,1
,568,50,WLF,0,1
,568,50,ASM,0,1
,568,50,TUV,0,1
,568,50,IOT,1,1
,568,50,MSR,0,1
,568,50,NIU,0,1
,568,50,NFK,0,1
,568,50,TKL,0,1
,568,50,PRK,0,1
,568,50,CCK,0,1
,568,50,SHN,0,1
,568,50,BLM,0,1
,1465,50,GGG,2859323,1
,1465,50,USA,759543,1
,1465,50,BRA,212189,1
,1465,50,MEX,25243,1
,1465,50,IND,162492,1
,1465,50,TUR,162667,1
,1465,50,COL,19238,1
,1465,50,IDN,100442,1
,1465,50,NGA,168530,1
,1465,50,EGY,79251,1
,1465,50,POL,71183,1
,1465,50,ROU,54350,1
,1465,50,HUN,36189,1
,1465,50,PER,6708,1
,1465,50,ECU,6903,1
,1465,50,PHL,85864,1
,1465,50,FRA,32522,1
,1465,50,VEN,10162,1
,1465,50,CHL,3551,1
,1465,50,GBR,46632,1
,1465,50,CAN,53829,1
,1465,50,RUS,46553,1
,1465,50,COD,26785,1
,1465,50,MAR,13499,1
,1465,50,SVK,12802,1
,1465,50,GTM,4156,1
,1465,50,ZAF,23707,1
,1465,50,DZA,20171,1
,1465,50,CMR,22274,1
,1465,50,AUS,21864,1
,1465,50,AGO,14813,1
,1465,50,KEN,22551,1
,1465,50,DEU,25399,1
,1465,50,HND,1906,1
,1465,50,UGA,15377,1
,1465,50,CRI,2448,1
,1465,50,PAK,15315,1
,1465,50,ETH,18528,1
,1465,50,LBN,21273,1
,1465,50,CIV,16004,1
,1465,50,GHA,16015,1
,1465,50,SGP,16939,1
,1465,50,ZMB,12331,1
,1465,50,PRT,4649,1
,1465,50,JOR,9343,1
,1465,50,MOZ,10367,1
,1465,50,UKR,14492,1
,1465,50,JPN,9008,1
,1465,50,BEN,8802,1
,1465,50,NIC,1195,1
,1465,50,BGR,13070,1
,1465,50,ITA,17996,1
,1465,50,MYS,7846,1
,1465,50,PAN,2057,1
,1465,50,TUN,7207,1
,1465,50,VNM,8546,1
,1465,50,ESP,7763,1
,1465,50,MDA,8297,1
,1465,50,IRQ,8349,1
,1465,50,ARG,5620,1
,1465,50,YEM,13587,1
,1465,50,NLD,6807,1
,1465,50,BFA,6918,1
,1465,50,BEL,4168,1
,1465,50,NZL,5237,1
,1465,50,BLR,5049,1
,1465,50,AZE,4233,1
,1465,50,THA,4424,1
,1465,50,BGD,7856,1
,1465,50,PRI,1221,1
,1465,50,HKG,3748,1
,1465,50,MDG,5430,1
,1465,50,CHE,4102,1
,1465,50,CHN,1752,1
,1465,50,GIN,6051,1
,1465,50,IRL,3581,1
,1465,50,BDI,3343,1
,1465,50,SEN,4000,1
,1465,50,GAB,1645,1
,1465,50,ALB,4577,1
,1465,50,KOR,4017,1
,1465,50,ARE,3585,1
,1465,50,AUT,2880,1
,1465,50,SWE,3152,1
,1465,50,RWA,7663,1
,1465,50,CZE,2067,1
,1465,50,MLI,4058,1
,1465,50,MWI,1528,1
,1465,50,CPV,1560,1
,1465,50,TWN,2145,1
,1465,50,KAZ,3190,1
,1465,50,UZB,4782,1
,1465,50,HTI,4364,1
,1465,50,LBR,4023,1
,1465,50,TGO,6493,1
,1465,50,ZWE,2071,1
,1465,50,JAM,3441,1
,1465,50,SAU,2320,1
,1465,50,SRB,2214,1
,1465,50,GRC,2589,1
,1465,50,MMR,1519,1
,1465,50,AFG,1652,1
,1465,50,COG,1109,1
,1465,50,HRV,1383,1
,1465,50,PNG,775,1
,1465,50,TZA,2323,1
,1465,50,FIN,2099,1
,1465,50,NPL,2002,1
,1465,50,DOM,1634,1
,1465,50,URY,364,1
,1465,50,TTO,2100,1
,1465,50,SDN,4159,1
,1465,50,KGZ,2135,1
,1465,50,MNG,2592,1
,1465,50,PRY,747,1
,1465,50,GEO,1336,1
,1465,50,TCD,777,1
,1465,50,NER,1640,1
,1465,50,SLV,810,1
,1465,50,NOR,1304,1
,1465,50,IRN,254,1
,1465,50,ISR,1106,1
,1465,50,LKA,1290,1
,1465,50,ARM,1179,1
,1465,50,BWA,783,1
,1465,50,KWT,1025,1
,1465,50,LTU,1473,1
,1465,50,MUS,1041,1
,1465,50,BOL,910,1
,1465,50,LAO,319,1
,1465,50,NAM,966,1
,1465,50,QAT,956,1
,1465,50,SVN,1225,1
,1465,50,LUX,624,1
,1465,50,KHM,681,1
,1465,50,MKD,871,1
,1465,50,DNK,891,1
,1465,50,SYR,799,1
,1465,50,BHS,1030,1
,1465,50,GNQ,99,1
,1465,50,LBY,409,1
,1465,50,SWZ,479,1
,1465,50,OMN,682,1
,1465,50,CUB,134,1
,1465,50,GNB,484,1
,1465,50,TJK,809,1
,1465,50,BIH,509,1
,1465,50,CYP,466,1
,1465,50,FJI,608,1
,1465,50,CAF,568,1
,1465,50,SLE,631,1
,1465,50,REU,494,1
,1465,50,LCA,231,1
,1465,50,BRB,589,1
,1465,50,BHR,479,1
,1465,50,GUY,600,1
,1465,50,LVA,525,1
,1465,50,SOM,398,1
,1465,50,EST,512,1
,1465,50,PSE,360,1
,1465,50,MTQ,327,1
,1465,50,LSO,299,1
,1465,50,BLZ,406,1
,1465,50,SSD,463,1
,1465,50,MNE,374,1
,1465,50,MLT,312,1
,1465,50,CUW,207,1
,1465,50,STP,261,1
,1465,50,GUM,252,1
,1465,50,GRD,123,1
,1465,50,GLP,215,1
,1465,50,ATG,96,1
,1465,50,BRN,177,1
,1465,50,MAC,167,1
,1465,50,MDV,160,1
,1465,50,TKM,77,1
,1465,50,BTN,183,1
,1465,50,SUR,261,1
,1465,50,CYM,145,1
,1465,50,GUF,98,1
,1465,50,VCT,138,1
,1465,50,ISL,154,1
,1465,50,NU2,101,1
,1465,50,GMB,217,1
,1465,50,MRT,200,1
,1465,50,PYF,74,1
,1465,50,DJI,60,1
,1465,50,VUT,93,1
,1465,50,TLS,148,1
,1465,50,BMU,108,1
,1465,50,NCL,72,1
,1465,50,JEY,159,1
,1465,50,SYC,85,1
,1465,50,ABW,89,1
,1465,50,VIR,92,1
,1465,50,DMA,107,1
,1465,50,SLB,97,1
,1465,50,AIA,62,1
,1465,50,TCA,76,1
,1465,50,MCO,85,1
,1465,50,WSM,94,1
,1465,50,KNA,62,1
,1465,50,TON,52,1
,1465,50,SXM,65,1
,1465,50,VGB,49,1
,1465,50,COM,15,1
,1465,50,IMN,53,1
,1465,50,MNP,35,1
,1465,50,GGY,54,1
,1465,50,GIB,22,1
,1465,50,FRO,34,1
,1465,50,FSM,43,1
,1465,50,GRL,52,1
,1465,50,PLW,26,1
,1465,50,BES,21,1
,1465,50,MAF,20,1
,1465,50,AND,6,1
,1465,50,COK,18,1
,1465,50,MHL,15,1
,1465,50,KIR,11,1
,1465,50,LIE,5,1
,1465,50,MYT,9,1
,1465,50,NRU,5,1
,1465,50,ERI,3,1
,1465,50,VAT,2,1
,1465,50,SMR,1,1
