record_id,activitywindow_date_id,source_id,country,value,isOriginal,threshold
,565,76,GGG,940,1,1
,565,76,BRA,645,1,1
,565,76,COL,6,1,1
,565,76,MEX,5,1,1
,565,76,USA,43,1,1
,565,76,VEN,8,1,1
,565,76,PER,0,1,1
,565,76,ECU,3,1,1
,565,76,AGO,26,1,1
,565,76,NGA,4,1,1
,565,76,MOZ,19,1,1
,565,76,CHL,4,1,1
,565,76,GTM,2,1,1
,565,76,EGY,13,1,1
,565,76,RUS,10,1,1
,565,76,GBR,6,1,1
,565,76,HND,0,1,1
,565,76,CRI,1,1,1
,565,76,MAR,8,1,1
,565,76,PAN,0,1,1
,565,76,PRT,7,1,1
,565,76,CIV,7,1,1
,565,76,ZAF,0,1,1
,565,76,COD,11,1,1
,565,76,CMR,5,1,1
,565,76,NIC,2,1,1
,565,76,FRA,3,1,1
,565,76,DZA,6,1,1
,565,76,CAN,4,1,1
,565,76,BEN,7,1,1
,565,76,GHA,0,1,1
,565,76,UGA,2,1,1
,565,76,PRI,0,1,1
,565,76,YEM,18,1,1
,565,76,LBN,4,1,1
,565,76,PNG,0,1,1
,565,76,KEN,0,1,1
,565,76,ESP,0,1,1
,565,76,DEU,0,1,1
,565,76,ARG,3,1,1
,565,76,JOR,2,1,1
,565,76,GAB,2,1,1
,565,76,ETH,0,1,1
,565,76,ZMB,0,1,1
,565,76,AUS,3,1,1
,565,76,HTI,3,1,1
,565,76,MDG,4,1,1
,565,76,CPV,2,1,1
,565,76,BWA,0,1,1
,565,76,UKR,1,1,1
,565,76,COG,1,1,1
,565,76,IND,0,1,1
,565,76,BFA,1,1,1
,565,76,PHL,2,1,1
,565,76,TGO,3,1,1
,565,76,GNQ,0,1,1
,565,76,PAK,3,1,1
,565,76,ZWE,0,1,1
,565,76,CHE,2,1,1
,565,76,SEN,1,1,1
,565,76,TUN,4,1,1
,565,76,BEL,3,1,1
,565,76,BDI,0,1,1
,565,76,URY,0,1,1
,565,76,BLR,0,1,1
,565,76,IRQ,4,1,1
,565,76,ITA,0,1,1
,565,76,JPN,2,1,1
,565,76,NZL,0,1,1
,565,76,NLD,2,1,1
,565,76,MWI,0,1,1
,565,76,GIN,0,1,1
,565,76,TCD,0,1,1
,565,76,SWZ,0,1,1
,565,76,PRY,2,1,1
,565,76,IRL,0,1,1
,565,76,CAF,1,1,1
,565,76,SGP,0,1,1
,565,76,LBR,0,1,1
,565,76,LUX,0,1,1
,565,76,MLI,0,1,1
,565,76,DOM,0,1,1
,565,76,CUB,0,1,1
,565,76,NAM,0,1,1
,565,76,AUT,0,1,1
,565,76,RWA,1,1,1
,565,76,SLV,0,1,1
,565,76,CUW,0,1,1
,565,76,BOL,0,1,1
,565,76,SWE,2,1,1
,565,76,TUR,1,1,1
,565,76,TTO,0,1,1
,565,76,IDN,0,1,1
,565,76,STP,1,1,1
,565,76,MYS,1,1,1
,565,76,ATG,0,1,1
,565,76,GNB,0,1,1
,565,76,MDA,0,1,1
,565,76,NOR,0,1,1
,565,76,LCA,0,1,1
,565,76,TZA,0,1,1
,565,76,SDN,3,1,1
,565,76,MUS,1,1,1
,565,76,ROU,0,1,1
,565,76,KOR,0,1,1
,565,76,HKG,0,1,1
,565,76,CHN,0,1,1
,565,76,FIN,0,1,1
,565,76,ISR,0,1,1
,565,76,KWT,0,1,1
,565,76,CZE,0,1,1
,565,76,GUF,0,1,1
,565,76,FJI,0,1,1
,565,76,SLE,0,1,1
,565,76,POL,0,1,1
,565,76,MTQ,0,1,1
,565,76,GUY,0,1,1
,565,76,HUN,0,1,1
,565,76,ARE,0,1,1
,565,76,SAU,0,1,1
,565,76,BHS,0,1,1
,565,76,ABW,0,1,1
,565,76,QAT,0,1,1
,565,76,BGR,0,1,1
,565,76,KAZ,1,1,1
,565,76,VUT,0,1,1
,565,76,SRB,0,1,1
,565,76,TWN,0,1,1
,565,76,GEO,0,1,1
,565,76,JAM,0,1,1
,565,76,DNK,0,1,1
,565,76,GUM,0,1,1
,565,76,LSO,0,1,1
,565,76,OMN,0,1,1
,565,76,HRV,0,1,1
,565,76,SVK,0,1,1
,565,76,NER,0,1,1
,565,76,SSD,0,1,1
,565,76,BRB,0,1,1
,565,76,SYC,0,1,1
,565,76,GRD,0,1,1
,565,76,LVA,0,1,1
,565,76,NPL,0,1,1
,565,76,LKA,0,1,1
,565,76,VNM,0,1,1
,565,76,BHR,0,1,1
,565,76,BLZ,0,1,1
,565,76,SYR,0,1,1
,565,76,LAO,0,1,1
,565,76,AIA,0,1,1
,565,76,TLS,0,1,1
,565,76,BGD,0,1,1
,565,76,GRC,0,1,1
,565,76,EST,0,1,1
,565,76,LBY,0,1,1
,565,76,THA,0,1,1
,565,76,MLT,0,1,1
,565,76,PYF,0,1,1
,565,76,WSM,0,1,1
,565,76,CYP,0,1,1
,565,76,GMB,0,1,1
,565,76,GLP,0,1,1
,565,76,BRN,0,1,1
,565,76,AFG,0,1,1
,565,76,CYM,0,1,1
,565,76,MMR,0,1,1
,565,76,DMA,0,1,1
,565,76,MRT,0,1,1
,565,76,DJI,0,1,1
,565,76,COM,0,1,1
,565,76,ISL,0,1,1
,565,76,MNP,0,1,1
,565,76,SOM,0,1,1
,565,76,ALB,0,1,1
,565,76,BTN,0,1,1
,565,76,KGZ,0,1,1
,565,76,MKD,0,1,1
,565,76,NU2,0,1,1
,565,76,MAC,0,1,1
,565,76,PSE,0,1,1
,565,76,MNE,0,1,1
,565,76,SVN,0,1,1
,565,76,MDV,0,1,1
,1462,76,GGG,3136,1,1
,1462,76,BRA,2011,1,1
,1462,76,COL,21,1,1
,1462,76,MEX,26,1,1
,1462,76,USA,171,1,1
,1462,76,VEN,22,1,1
,1462,76,PER,5,1,1
,1462,76,ECU,6,1,1
,1462,76,AGO,109,1,1
,1462,76,NGA,25,1,1
,1462,76,MOZ,60,1,1
,1462,76,CHL,10,1,1
,1462,76,GTM,5,1,1
,1462,76,EGY,42,1,1
,1462,76,RUS,56,1,1
,1462,76,GBR,16,1,1
,1462,76,HND,1,1,1
,1462,76,CRI,3,1,1
,1462,76,MAR,22,1,1
,1462,76,PAN,5,1,1
,1462,76,PRT,26,1,1
