record_id,source_id,country,value,activitywindow_date_id,isOriginal
,31,GGG,627,561,1
,31,GGG,627,562,1
,31,GGG,631,563,1
,31,GGG,633,564,1
,31,GGG,636,565,1
,31,GGG,635,568,1
,31,GGG,629,569,1
,31,GGG,632,570,1
,31,GGG,631,571,1
,31,GGG,632,572,1
,31,GGG,617,575,1
,31,GGG,612,576,1
,31,GGG,601,577,1
,31,GGG,588,578,1
,31,GGG,590,579,1
,31,GGG,580,582,1
,31,GGG,577,583,1
,31,GGG,578,584,1
,31,GGG,577,585,1
,31,GGG,830,1455,1
,31,GGG,830,1458,1
,31,GGG,831,1459,1
,31,GGG,833,1460,1
,31,GGG,839,1461,1
,31,GGG,841,1462,1
,31,GGG,825,1465,1
,31,GGG,836,1466,1
,31,GGG,835,1467,1
,31,GGG,838,1468,1
,31,GGG,838,1469,1
,31,GGG,830,1472,1
,31,GGG,826,1473,1
,31,GGG,823,1474,1
,31,GGG,818,1475,1
,31,GGG,817,1476,1
,31,GGG,810,1479,1
,31,GGG,811,1480,1
,31,GGG,810,1481,1
,31,GGG,810,1482,1
,31,GGG,993,2352,1
,31,GGG,992,2355,1
,31,GGG,991,2356,1
,31,GGG,994,2357,1
,31,GGG,996,2358,1
,31,GGG,994,2359,1
,31,GGG,996,2362,1
,31,GGG,994,2363,1
,31,GGG,995,2364,1
,31,GGG,995,2365,1
,31,GGG,995,2366,1
,31,GGG,990,2369,1
,31,GGG,987,2370,1
,31,GGG,982,2371,1
,31,GGG,977,2372,1
,31,GGG,981,2373,1
,31,GGG,976,2376,1
,31,GGG,977,2377,1
,31,GGG,976,2378,1
,31,GGG,974,2379,1
,31,GGG,1271,3249,1
,31,GGG,1274,3252,1
,31,GGG,1275,3253,1
,31,GGG,1276,3254,1
,31,GGG,1276,3255,1
,31,GGG,1277,3256,1
,31,GGG,1267,3259,1
,31,GGG,1274,3260,1
,31,GGG,1275,3261,1
,31,GGG,1273,3262,1
,31,GGG,1276,3263,1
,31,GGG,1275,3266,1
,31,GGG,1277,3267,1
,31,GGG,1273,3268,1
,31,GGG,1275,3269,1
,31,GGG,1272,3270,1
,31,GGG,1272,3273,1
,31,GGG,1270,3274,1
,31,GGG,1270,3275,1
,31,GGG,1270,3276,1
